iteration,direction,angle,datayear,intensity mean,intensity sd,sundist,color
a,e,70,2022,3.03E+04,5.94E+02,106.3481,y
a,e,75,2022,3.68E+04,7.05E+02,109.7407,y
a,e,80,2022,4.68E+04,9.85E+02,113.0443,y
a,e,0,2022,1.04E+04,8.15E+01,57.824,r
a,e,10,2022,9.21E+03,6.57E+01,64.05981,r
a,e,20,2022,8.50E+03,6.71E+01,70.76764,r
a,e,30,2022,8.19E+03,6.36E+01,77.77753,r
a,e,40,2022,8.40E+03,5.59E+01,84.95866,r
a,e,50,2022,9.29E+03,7.32E+01,92.201,r
a,e,60,2022,1.11E+04,1.05E+02,99.40245,r
a,e,65,2022,1.28E+04,1.12E+02,102.9196,r
a,e,70,2022,1.49E+04,1.17E+02,106.3481,r
a,e,75,2022,1.83E+04,1.49E+02,109.7407,r
a,e,80,2022,2.39E+04,1.75E+02,113.0443,r
a,e,0,2022,9.15E+03,6.76E+01,57.824,ir
a,e,10,2022,8.14E+03,6.98E+01,64.05981,ir
a,e,20,2022,7.47E+03,8.10E+01,70.76764,ir
a,e,30,2022,7.14E+03,5.10E+01,77.77753,ir
a,e,40,2022,7.27E+03,5.68E+01,84.95866,ir
a,e,50,2022,8.06E+03,7.67E+01,92.201,ir
a,e,60,2022,9.60E+03,6.69E+01,99.40245,ir
a,e,65,2022,1.11E+04,1.08E+02,102.9196,ir
a,e,70,2022,1.30E+04,1.26E+02,106.3481,ir
a,e,75,2022,1.61E+04,1.37E+02,109.7407,ir
a,e,80,2022,2.13E+04,1.88E+02,113.0443,ir
