[s],CH2[V]
-1.1876E-02,-5.5226899578E-03
-1.1872E-02,-3.7619735588E-03
-1.1868E-02,-2.8128339850E-03
-1.1864E-02,-7.7988387030E-03
-1.1860E-02,-7.0232249355E-03
-1.1856E-02,-7.0866633496E-03
-1.1852E-02,-7.3529864333E-03
-1.1848E-02,-4.9961854530E-03
-1.1844E-02,-6.7292119187E-03
-1.1840E-02,-3.3349611248E-03
-1.1836E-02,-3.8580276338E-03
-1.1832E-02,-5.9603644704E-03
-1.1828E-02,-5.9429265359E-03
-1.1824E-02,-3.8463546605E-03
-1.1820E-02,-4.5016910258E-03
-1.1816E-02,-3.9356376480E-03
-1.1812E-02,-8.3660078798E-03
-1.1808E-02,-4.0932943141E-03
-1.1804E-02,-7.7768755840E-03
-1.1800E-02,-5.3806020246E-03
-1.1796E-02,-4.1923095478E-03
-1.1792E-02,-4.2502595663E-03
-1.1788E-02,-8.0865622378E-03
-1.1784E-02,-6.2509585649E-03
-1.1780E-02,-9.0773249262E-03
-1.1776E-02,-7.4930144300E-03
-1.1772E-02,-9.0934944739E-03
-1.1768E-02,-7.7936459465E-03
-1.1764E-02,-7.5727702113E-03
-1.1760E-02,-7.1216059758E-03
-1.1756E-02,-3.1182434097E-03
-1.1752E-02,-7.0841551863E-03
-1.1748E-02,-3.2950641607E-03
-1.1744E-02,-5.5508376546E-03
-1.1740E-02,-6.9696713555E-03
-1.1736E-02,-4.1171743184E-03
-1.1732E-02,-6.0467959718E-03
-1.1728E-02,-7.0525694936E-03
-1.1724E-02,-5.2626134408E-03
-1.1720E-02,-6.1739112186E-03
-1.1716E-02,-7.5041533458E-03
-1.1712E-02,-7.4982071866E-03
-1.1708E-02,-7.2754097978E-03
-1.1704E-02,-8.0597163064E-03
-1.1700E-02,-7.3085213693E-03
-1.1696E-02,-1.1025390640E-02
-1.1692E-02,-6.0143948876E-03
-1.1688E-02,-6.8366385597E-03
-1.1684E-02,-4.4811441131E-03
-1.1680E-02,-1.0526137379E-02
-1.1676E-02,-6.7821742207E-03
-1.1672E-02,-7.6616049719E-03
-1.1668E-02,-3.0226852453E-03
-1.1664E-02,-7.9693890456E-03
-1.1660E-02,-8.1036234710E-03
-1.1656E-02,-7.0490790457E-03
-1.1652E-02,-9.7123480291E-03
-1.1648E-02,-7.6890040344E-03
-1.1644E-02,-7.5246573432E-03
-1.1640E-02,-6.8612099779E-03
-1.1636E-02,-9.0522575974E-03
-1.1632E-02,-6.7584897196E-03
-1.1628E-02,-1.0389456779E-02
-1.1624E-02,-8.8002300914E-03
-1.1620E-02,-6.6780806714E-03
-1.1616E-02,-8.5746002900E-03
-1.1612E-02,-5.8520509123E-03
-1.1608E-02,-8.8940239584E-03
-1.1604E-02,-6.4571334107E-03
-1.1600E-02,-5.3162719250E-03
-1.1596E-02,-6.5998793792E-03
-1.1592E-02,-7.6530600502E-03
-1.1588E-02,-7.0001650911E-03
-1.1584E-02,-9.4527674227E-03
-1.1580E-02,-8.2117558309E-03
-1.1576E-02,-4.8829318620E-03
-1.1572E-02,-7.3529339812E-03
-1.1568E-02,-7.2260762265E-03
