[s],CH2[V]
-1.1876E-02,-4.2946600430E-03
-1.1872E-02,-4.8685774592E-03
-1.1868E-02,-2.9495633910E-03
-1.1864E-02,-2.6450475379E-03
-1.1860E-02,-4.6203188567E-03
-1.1856E-02,-5.1367049133E-03
-1.1852E-02,-4.2485537023E-03
-1.1848E-02,-4.2125353290E-03
-1.1844E-02,-4.4897093381E-03
-1.1840E-02,-5.2111754369E-03
-1.1836E-02,-4.6467394512E-03
-1.1832E-02,-4.6402754464E-03
-1.1828E-02,-4.0534910557E-03
-1.1824E-02,-4.5266317947E-03
-1.1820E-02,-3.9051908778E-03
-1.1816E-02,-5.7182975007E-03
-1.1812E-02,-3.8133501294E-03
-1.1808E-02,-3.9790319762E-03
-1.1804E-02,-4.9559740850E-03
-1.1800E-02,-4.2162508443E-03
-1.1796E-02,-4.6315970097E-03
-1.1792E-02,-4.0986551661E-03
-1.1788E-02,-5.3673739459E-03
-1.1784E-02,-5.5439925303E-03
-1.1780E-02,-5.2826476082E-03
-1.1776E-02,-4.4318556367E-03
-1.1772E-02,-4.9560942480E-03
-1.1768E-02,-6.1955447616E-03
-1.1764E-02,-4.2766565784E-03
-1.1760E-02,-3.2218431433E-03
-1.1756E-02,-5.5362811194E-03
-1.1752E-02,-3.6736826117E-03
-1.1748E-02,-5.0337939129E-03
-1.1744E-02,-4.5543608305E-03
-1.1740E-02,-4.5744833595E-03
-1.1736E-02,-4.6329741154E-03
-1.1732E-02,-5.1291422756E-03
-1.1728E-02,-6.9031272689E-03
-1.1724E-02,-6.7781272630E-03
-1.1720E-02,-6.0514312141E-03
-1.1716E-02,-5.2417998280E-03
-1.1712E-02,-5.9194140722E-03
-1.1708E-02,-5.2807745918E-03
-1.1704E-02,-4.1264204415E-03
-1.1700E-02,-5.4427409233E-03
-1.1696E-02,-6.9833141166E-03
-1.1692E-02,-4.7386488641E-03
-1.1688E-02,-5.5161757565E-03
-1.1684E-02,-4.5770163186E-03
-1.1680E-02,-7.4479652465E-03
-1.1676E-02,-5.0167193272E-03
-1.1672E-02,-5.6172385360E-03
-1.1668E-02,-5.2465243307E-03
-1.1664E-02,-4.5783133157E-03
-1.1660E-02,-5.3916926421E-03
-1.1656E-02,-5.6166110182E-03
-1.1652E-02,-6.5890861163E-03
-1.1648E-02,-7.2880092605E-03
-1.1644E-02,-7.4157730147E-03
-1.1640E-02,-5.6396327173E-03
-1.1636E-02,-6.5902228962E-03
-1.1632E-02,-5.7074809261E-03
-1.1628E-02,-5.0480646961E-03
-1.1624E-02,-6.5193038559E-03
-1.1620E-02,-7.2461219752E-03
-1.1616E-02,-5.2429861989E-03
-1.1612E-02,-4.5947184221E-03
-1.1608E-02,-4.8020987267E-03
-1.1604E-02,-4.2506670447E-03
-1.1600E-02,-5.5153079128E-03
-1.1596E-02,-4.6125502253E-03
-1.1592E-02,-5.4198756268E-03
-1.1588E-02,-5.3931918182E-03
-1.1584E-02,-6.7063041395E-03
-1.1580E-02,-6.0288081509E-03
-1.1576E-02,-3.5814775598E-03
-1.1572E-02,-5.3434901251E-03
-1.1568E-02,-4.9098467635E-03
-1.1564E-02,-5.3673796679E-03
-1.1560E-02,-6.3191638470E-03
-1.1556E-02,-5.3535037059E-03
-1.1552E-02,-5.5191741087E-03
-1.1548E-02,-4.2545790169E-03
-1.1544E-02,-5.1521410865E-03
-1.1540E-02,-4.2885355462E-03
-1.1536E-02,-5.1664690901E-03
-1.1532E-02,-5.8050112957E-03
-1.1528E-02,-6.4160495328E-03
-1.1524E-02,-5.5240264039E-03
-1.1520E-02,-5.8410353911E-03
-1.1516E-02,-4.0430044524E-03
-1.1512E-02,-5.6532721681E-03
-1.1508E-02,-5.0024638028E-03
-1.1504E-02,-4.7525362702E-03
-1.1500E-02,-3.9363245310E-03
-1.1496E-02,-4.4077124165E-03
-1.1492E-02,-5.7083716580E-03
-1.1488E-02,-2.6761220633E-03
-1.1484E-02,-4.4855284297E-03
-1.1480E-02,-3.3627943066E-03
-1.1476E-02,-5.6204810288E-03
-1.1472E-02,-3.6433271568E-03
-1.1468E-02,-2.7560209013E-03
-1.1464E-02,-4.1879763068E-03
-1.1460E-02,-4.3813814674E-03
-1.1456E-02,-4.1232008368E-03
-1.1452E-02,-4.3365168107E-03
-1.1448E-02,-2.8560479904E-03
-1.1444E-02,-3.5695490008E-03
-1.1440E-02,-3.3092226030E-03
-1.1436E-02,-2.7577184417E-03
-1.1432E-02,-1.8933537766E-03
-1.1428E-02,-3.0857480898E-03
-1.1424E-02,-2.9679406959E-03
-1.1420E-02,-2.8816198147E-03
-1.1416E-02,-1.9336274449E-03
-1.1412E-02,-4.0960077661E-03
-1.1408E-02,-3.7360719885E-03
-1.1404E-02,-5.5382151710E-03
-1.1400E-02,-4.1285452280E-03
-1.1396E-02,-4.0290006981E-03
-1.1392E-02,-4.2173399404E-03
-1.1388E-02,-4.4719919758E-03
-1.1384E-02,-3.6286157761E-03
-1.1380E-02,-4.7954077474E-03
-1.1376E-02,-3.2974122997E-03
-1.1372E-02,-5.4662528110E-03
-1.1368E-02,-3.2385248152E-03
-1.1364E-02,-2.3796056307E-03
-1.1360E-02,-1.7605813246E-03
-1.1356E-02,-3.0892938511E-03
-1.1352E-02,-2.3555272604E-03
-1.1348E-02,-2.2175973375E-03
-1.1344E-02,-3.5984071870E-03
-1.1340E-02,-1.0332444065E-03
-1.1336E-02,-2.5489896415E-03
-1.1332E-02,-4.8609385275E-03
-1.1328E-02,-3.0919050115E-03
-1.1324E-02,-2.2371896236E-03
-1.1320E-02,-1.7816498986E-03
-1.1316E-02,-3.9618718437E-05
-1.1312E-02,-4.7914042225E-03
-1.1308E-02,-9.4628562969E-05
-1.1304E-02,-1.4149830874E-03
-1.1300E-02,-1.7888940090E-03
-1.1296E-02,-1.3034756663E-03
-1.1292E-02,-3.3505559160E-04
-1.1288E-02,-1.8933213516E-03
-1.1284E-02,-7.2021224136E-04
-1.1280E-02,-1.3858159107E-03
-1.1276E-02,-3.5746206411E-03
-1.1272E-02,-2.1935876318E-03
-1.1268E-02,-2.9511998962E-03
-1.1264E-02,-3.6592706848E-03
-1.1260E-02,-1.8887646955E-03
-1.1256E-02,-2.7263520919E-03
-1.1252E-02,-5.3599096491E-04
-1.1248E-02,-1.2809594146E-03
-1.1244E-02,-2.8697942526E-03
-1.1240E-02,-2.1580327442E-03
-1.1236E-02,-3.8620428349E-03
-1.1232E-02,-2.6510357717E-04
-1.1228E-02,-3.8466679808E-05
-1.1224E-02,-5.7034994482E-04
-1.1220E-02,-6.0063101315E-04
-1.1216E-02,-2.5884908335E-03
-1.1212E-02,4.7730703377E-03
-1.1208E-02,2.1320253207E-02
-1.1204E-02,-6.5721632773E-04
-1.1200E-02,6.0858145406E-03
-1.1196E-02,1.8732899265E-03
-1.1192E-02,3.5408705261E-02
-1.1188E-02,3.0396088753E-03
-1.1184E-02,5.3365793519E-03
-1.1180E-02,4.5277144451E-02
-1.1176E-02,2.2391137962E-02
-1.1172E-02,1.1366328555E-02
-1.1168E-02,5.9530268299E-03
-1.1164E-02,1.3214719222E-02
-1.1160E-02,8.9180690850E-03
-1.1156E-02,3.8331880146E-03
-1.1152E-02,7.3895884826E-03
-1.1148E-02,6.1339013881E-02
-1.1144E-02,3.0688898366E-02
-1.1140E-02,1.7810647632E-02
-1.1136E-02,2.0397224217E-02
-1.1132E-02,6.7252169605E-03
-1.1128E-02,6.3771677802E-03
-1.1124E-02,3.4460877765E-03
-1.1120E-02,1.6567569341E-02
