[s],CH2[V]
-1.1876E-02,-5.1512433566E-03
-1.1872E-02,-8.8265228918E-03
-1.1868E-02,-8.1983090233E-03
-1.1864E-02,-5.9840537399E-03
-1.1860E-02,-7.0004464250E-03
-1.1856E-02,-9.0733624095E-03
-1.1852E-02,-3.6147167109E-03
-1.1848E-02,-6.1887122436E-03
-1.1844E-02,-7.8559113412E-03
-1.1840E-02,-7.0594788639E-03
-1.1836E-02,-9.5108700292E-03
-1.1832E-02,-8.0396891462E-03
-1.1828E-02,-5.6336022783E-03
-1.1824E-02,-8.4632349742E-03
-1.1820E-02,-1.0209975276E-02
-1.1816E-02,-8.8276816060E-03
-1.1812E-02,-6.0849000282E-03
-1.1808E-02,-7.1950245914E-03
-1.1804E-02,-3.8255168771E-03
-1.1800E-02,-5.5594541019E-03
-1.1796E-02,-8.1965113473E-03
-1.1792E-02,-7.1059228020E-03
-1.1788E-02,-6.6100074002E-03
-1.1784E-02,-6.3626815085E-03
-1.1780E-02,-6.9143820882E-03
-1.1776E-02,-5.1446439305E-03
-1.1772E-02,-9.5332003128E-03
-1.1768E-02,-2.9666616488E-03
-1.1764E-02,-6.5623856743E-03
-1.1760E-02,-8.6566448896E-03
-1.1756E-02,-4.3600799298E-03
-1.1752E-02,-4.4578792287E-03
-1.1748E-02,-5.6771279731E-03
-1.1744E-02,-5.8095694909E-03
-1.1740E-02,-6.4700127821E-03
-1.1736E-02,-7.6681281041E-03
-1.1732E-02,-6.5810872272E-03
-1.1728E-02,-5.5126859144E-03
-1.1724E-02,-8.7749386491E-03
-1.1720E-02,-1.0158147847E-02
-1.1716E-02,-4.2156125792E-03
-1.1712E-02,-5.4493667096E-03
-1.1708E-02,-1.0149087941E-02
-1.1704E-02,-5.7833005324E-03
-1.1700E-02,-8.6826325141E-03
-1.1696E-02,-9.1193628892E-03
-1.1692E-02,-6.7886687427E-03
-1.1688E-02,-8.6976385791E-03
-1.1684E-02,-1.0193333660E-02
-1.1680E-02,-7.7691222120E-03
-1.1676E-02,-7.5685978863E-03
-1.1672E-02,-9.4613218812E-03
-1.1668E-02,-6.1990262311E-03
-1.1664E-02,-9.2882872171E-03
-1.1660E-02,-5.8743668908E-03
-1.1656E-02,-5.7012130175E-03
-1.1652E-02,-8.7154293731E-03
-1.1648E-02,-6.4611626846E-03
-1.1644E-02,-8.9976311338E-03
-1.1640E-02,-6.3421250591E-03
-1.1636E-02,-9.3884659334E-03
-1.1632E-02,-1.0063409842E-02
-1.1628E-02,-9.0883350960E-03
-1.1624E-02,-1.0184135471E-02
-1.1620E-02,-1.1768136023E-02
-1.1616E-02,-6.6709233458E-03
-1.1612E-02,-9.6157503598E-03
-1.1608E-02,-6.2756062770E-03
-1.1604E-02,-8.1328726616E-03
-1.1600E-02,-9.9052238869E-03
-1.1596E-02,-9.3148041308E-03
-1.1592E-02,-1.2451653464E-02
-1.1588E-02,-9.4437790425E-03
-1.1584E-02,-1.0446825056E-02
-1.1580E-02,-8.1212282984E-03
-1.1576E-02,-9.4886684916E-03
-1.1572E-02,-8.7384701441E-03
-1.1568E-02,-9.7310543504E-03
-1.1564E-02,-9.5107603566E-03
-1.1560E-02,-1.0682873749E-02
-1.1556E-02,-9.2890167779E-03
-1.1552E-02,-8.4806204566E-03
-1.1548E-02,-8.1343079414E-03
-1.1544E-02,-7.6000500646E-03
-1.1540E-02,-8.0185461871E-03
-1.1536E-02,-8.0902100420E-03
-1.1532E-02,-1.0984692590E-02
-1.1528E-02,-9.7189712971E-03
-1.1524E-02,-8.0397702085E-03
-1.1520E-02,-9.8004341554E-03
-1.1516E-02,-7.3875762000E-03
-1.1512E-02,-9.2923546379E-03
-1.1508E-02,-9.8287725871E-03
-1.1504E-02,-1.0486397771E-02
-1.1500E-02,-7.7952242774E-03
-1.1496E-02,-7.9505349047E-03
-1.1492E-02,-9.2732000897E-03
-1.1488E-02,-7.8580428032E-03
-1.1484E-02,-1.0325450928E-02
-1.1480E-02,-7.2305871059E-03
-1.1476E-02,-6.7591000711E-03
-1.1472E-02,-8.7762547197E-03
-1.1468E-02,-9.5971727845E-03
-1.1464E-02,-9.0595865844E-03
-1.1460E-02,-1.1688785554E-02
-1.1456E-02,-9.1398001293E-03
-1.1452E-02,-1.0463457136E-02
-1.1448E-02,-9.9713802728E-03
-1.1444E-02,-9.1659737203E-03
-1.1440E-02,-1.0881524105E-02
-1.1436E-02,-8.8595104856E-03
-1.1432E-02,-1.0819253942E-02
-1.1428E-02,-7.2454691933E-03
-1.1424E-02,-6.7465449490E-03
-1.1420E-02,-1.0190706287E-02
-1.1416E-02,-1.1398348815E-02
-1.1412E-02,-8.2814503484E-03
-1.1408E-02,-8.9551354072E-03
-1.1404E-02,-8.8017655071E-03
-1.1400E-02,-7.8936053177E-03
-1.1396E-02,-9.7613096674E-03
-1.1392E-02,-6.2553645401E-03
-1.1388E-02,-9.3890905901E-03
-1.1384E-02,-6.9260169146E-03
-1.1380E-02,-7.3133898766E-03
-1.1376E-02,-8.8466406510E-03
-1.1372E-02,-8.0039263601E-03
-1.1368E-02,-1.0069942511E-02
-1.1364E-02,-8.1829882458E-03
-1.1360E-02,-8.3527279652E-03
-1.1356E-02,-1.0433154135E-02
-1.1352E-02,-1.0200471912E-02
-1.1348E-02,-6.5608025750E-03
-1.1344E-02,-4.9951840949E-03
-1.1340E-02,-1.0615644480E-02
-1.1336E-02,-5.1717235121E-03
-1.1332E-02,-6.4887286401E-03
-1.1328E-02,-8.7360239695E-03
-1.1324E-02,-6.7786694677E-03
-1.1320E-02,-1.1048107162E-02
-1.1316E-02,-6.7496491589E-03
-1.1312E-02,-1.1336202630E-02
-1.1308E-02,-9.2137671076E-03
-1.1304E-02,-1.1374802597E-02
-1.1300E-02,-6.6973210503E-03
