[s],CH2[V]
-1.1876E-02,-8.3941078929E-03
-1.1872E-02,-7.0671130266E-03
-1.1868E-02,-7.9829407573E-03
-1.1864E-02,-6.0033513393E-03
-1.1860E-02,-7.0831967436E-03
-1.1856E-02,-6.5649892051E-03
-1.1852E-02,-6.8292571207E-03
-1.1848E-02,-7.4296093945E-03
-1.1844E-02,-6.1214829742E-03
-1.1840E-02,-7.0400096031E-03
-1.1836E-02,-9.6961784814E-03
-1.1832E-02,-7.7112723292E-03
-1.1828E-02,-5.3076220991E-03
-1.1824E-02,-9.6258926859E-03
-1.1820E-02,-7.1914006291E-03
-1.1816E-02,-4.9192382425E-03
-1.1812E-02,-6.6093827436E-03
-1.1808E-02,-7.7697707105E-03
-1.1804E-02,-9.8143530317E-03
-1.1800E-02,-4.9182702630E-03
-1.1796E-02,-7.5752879115E-03
-1.1792E-02,-9.7517013989E-03
-1.1788E-02,-7.3813200966E-03
-1.1784E-02,-9.5447159299E-03
-1.1780E-02,-8.6263561940E-03
-1.1776E-02,-7.5080824839E-03
-1.1772E-02,-8.4513617292E-03
-1.1768E-02,-7.2855044402E-03
-1.1764E-02,-8.5917187436E-03
-1.1760E-02,-7.7934409065E-03
-1.1756E-02,-6.3187505021E-03
-1.1752E-02,-8.0406905042E-03
-1.1748E-02,-1.1638841631E-02
-1.1744E-02,-7.2090197617E-03
-1.1740E-02,-8.3900976925E-03
-1.1736E-02,-8.2797766500E-03
-1.1732E-02,-9.4782639050E-03
-1.1728E-02,-5.4952765902E-03
-1.1724E-02,-9.0063477168E-03
-1.1720E-02,-6.4390755879E-03
-1.1716E-02,-8.2174492664E-03
-1.1712E-02,-6.0762358973E-03
-1.1708E-02,-4.8193647019E-03
-1.1704E-02,-6.5891791536E-03
-1.1700E-02,-5.6000806268E-03
-1.1696E-02,-3.9841701329E-03
-1.1692E-02,-7.1790553154E-03
-1.1688E-02,-7.5419569949E-03
-1.1684E-02,-8.8799286523E-03
-1.1680E-02,-7.7409506733E-03
-1.1676E-02,-6.8643237245E-03
-1.1672E-02,-8.2279492204E-03
-1.1668E-02,-8.1164408535E-03
-1.1664E-02,-8.6668825831E-03
-1.1660E-02,-7.9524279482E-03
-1.1656E-02,-5.8556891798E-03
-1.1652E-02,-4.8113919848E-03
-1.1648E-02,-5.2754403600E-03
-1.1644E-02,-6.2443352969E-03
-1.1640E-02,-8.3324051660E-03
-1.1636E-02,-5.6278993060E-03
-1.1632E-02,-7.7509928636E-03
-1.1628E-02,-5.2801991948E-03
-1.1624E-02,-8.4429789321E-03
-1.1620E-02,-9.3044519964E-03
-1.1616E-02,-5.1686526808E-03
-1.1612E-02,-7.9713679197E-03
-1.1608E-02,-7.8484297663E-03
-1.1604E-02,-9.3428469235E-03
-1.1600E-02,-9.4263697182E-03
-1.1596E-02,-8.9381552364E-03
-1.1592E-02,-7.8466988475E-03
-1.1588E-02,-7.5243330939E-03
-1.1584E-02,-8.2336855713E-03
-1.1580E-02,-8.6464024276E-03
-1.1576E-02,-9.1786909671E-03
-1.1572E-02,-7.8426695736E-03
-1.1568E-02,-4.3251420720E-03
-1.1564E-02,-6.8302632470E-03
-1.1560E-02,-6.6179753490E-03
-1.1556E-02,-4.9283839789E-03
-1.1552E-02,-6.5960599137E-03
-1.1548E-02,-1.2098696196E-03
-1.1544E-02,-8.6026383142E-03
