[s],CH2[V]
-1.1876E-02,6.0369730619E-03
-1.1872E-02,3.3158654497E-03
-1.1868E-02,-1.6529583317E-04
-1.1864E-02,3.5030058109E-04
-1.1860E-02,1.6554077598E-03
-1.1856E-02,2.1986855261E-03
-1.1852E-02,3.9439085418E-04
-1.1848E-02,4.2592630165E-03
-1.1844E-02,3.0128220699E-03
-1.1840E-02,7.7099579343E-05
-1.1836E-02,2.4356182918E-03
-1.1832E-02,1.3521526642E-03
-1.1828E-02,2.0247944503E-03
-1.1824E-02,6.2189750256E-04
-1.1820E-02,-1.7359841555E-03
-1.1816E-02,1.2174022916E-03
-1.1812E-02,-1.6593487911E-03
-1.1808E-02,-1.5963863686E-04
-1.1804E-02,-1.4325326030E-03
-1.1800E-02,-4.8522306394E-04
-1.1796E-02,1.6761272890E-03
-1.1792E-02,5.4561309037E-04
-1.1788E-02,-1.3910000845E-03
-1.1784E-02,2.6580723734E-03
-1.1780E-02,-1.8347085254E-03
-1.1776E-02,-1.9575723007E-03
-1.1772E-02,5.2152709069E-04
-1.1768E-02,1.6529339285E-03
-1.1764E-02,3.9053887932E-03
-1.1760E-02,4.7162790294E-03
-1.1756E-02,3.1012620155E-03
-1.1752E-02,1.0428935322E-02
-1.1748E-02,8.1452056602E-03
-1.1744E-02,1.2188088772E-02
-1.1740E-02,8.3048679145E-03
-1.1736E-02,4.6018056811E-03
-1.1732E-02,3.7569036024E-03
-1.1728E-02,4.4279394009E-03
-1.1724E-02,6.9524298772E-03
-1.1720E-02,1.5371864712E-03
-1.1716E-02,2.1298874576E-03
-1.1712E-02,3.3282670311E-03
-1.1708E-02,3.3692254376E-03
-1.1704E-02,1.7174919607E-03
-1.1700E-02,3.7760705497E-03
-1.1696E-02,-2.0542645031E-04
-1.1692E-02,8.7773400153E-04
-1.1688E-02,1.4562462208E-03
-1.1684E-02,3.1137208173E-03
-1.1680E-02,4.0197065801E-04
-1.1676E-02,1.6157406284E-03
-1.1672E-02,-5.4989172241E-04
-1.1668E-02,1.6753079702E-04
-1.1664E-02,-1.7183040990E-04
-1.1660E-02,-8.0141379857E-04
-1.1656E-02,-2.1254276840E-04
-1.1652E-02,-1.6006634856E-03
-1.1648E-02,6.6936159158E-06
-1.1644E-02,8.5141449649E-04
-1.1640E-02,-4.8424947493E-05
-1.1636E-02,-5.1330495920E-04
-1.1632E-02,-2.2058224327E-04
-1.1628E-02,1.2014950032E-03
-1.1624E-02,-1.9320034499E-04
-1.1620E-02,-2.4099782518E-03
-1.1616E-02,5.5053376611E-06
-1.1612E-02,-1.1732075632E-03
-1.1608E-02,3.1966332663E-03
-1.1604E-02,2.0854538617E-03
-1.1600E-02,4.3043020831E-04
-1.1596E-02,2.4418476928E-03
-1.1592E-02,5.7294921227E-04
-1.1588E-02,2.8959348592E-04
-1.1584E-02,-2.1264576523E-04
-1.1580E-02,7.6847152991E-04
-1.1576E-02,1.0843437373E-03
-1.1572E-02,-3.6091542559E-04
-1.1568E-02,2.4516561211E-04
-1.1564E-02,2.3165013905E-04
-1.1560E-02,-1.4552425630E-04
-1.1556E-02,-2.0336842104E-04
-1.1552E-02,1.0300224456E-03
-1.1548E-02,-5.7053495764E-04
-1.1544E-02,-1.7525475718E-03
-1.1540E-02,-6.5567328261E-04
-1.1536E-02,8.8233452665E-04
-1.1532E-02,5.1925324704E-06
-1.1528E-02,3.7333372427E-04
-1.1524E-02,-2.2240384541E-03
-1.1520E-02,-2.0381855534E-04
-1.1516E-02,-1.0149968013E-03
-1.1512E-02,-9.6746376373E-04
-1.1508E-02,-2.3313363566E-03
-1.1504E-02,-1.2633488638E-03
-1.1500E-02,-1.3899758382E-03
-1.1496E-02,-7.1614768123E-04
-1.1492E-02,-2.7502397273E-03
-1.1488E-02,-2.1917222447E-03
-1.1484E-02,-2.0372193687E-03
-1.1480E-02,-1.7660020097E-03
-1.1476E-02,-8.3308448296E-05
-1.1472E-02,-2.3829415836E-03
-1.1468E-02,-3.4303754865E-03
-1.1464E-02,-7.2316481719E-04
-1.1460E-02,-2.6156610161E-03
-1.1456E-02,-1.2736676204E-03
-1.1452E-02,-9.7378662475E-04
-1.1448E-02,-1.3425782225E-03
-1.1444E-02,-1.4711449705E-03
-1.1440E-02,-2.7295945847E-03
-1.1436E-02,-4.8611026506E-06
-1.1432E-02,-2.7075856878E-03
-1.1428E-02,-1.9890092224E-03
-1.1424E-02,-3.9981283516E-03
-1.1420E-02,-2.7424806327E-03
-1.1416E-02,-4.0654882792E-03
-1.1412E-02,-3.9492925949E-03
-1.1408E-02,-3.3869775810E-03
-1.1404E-02,-3.9710077601E-03
-1.1400E-02,-3.4665159302E-03
-1.1396E-02,-3.9981092782E-03
-1.1392E-02,-3.7563642716E-03
-1.1388E-02,-4.4397272648E-03
-1.1384E-02,-3.2407907455E-03
-1.1380E-02,-4.2871183861E-03
-1.1376E-02,-5.0240912300E-03
-1.1372E-02,-3.3994669005E-03
-1.1368E-02,-3.0965188880E-03
-1.1364E-02,-5.2075018832E-03
-1.1360E-02,-3.6388200918E-03
-1.1356E-02,-4.9382471860E-03
-1.1352E-02,-3.6311105882E-03
-1.1348E-02,-4.5197710614E-03
-1.1344E-02,-4.6926684084E-03
-1.1340E-02,-5.6964316550E-03
-1.1336E-02,-3.7486490460E-03
-1.1332E-02,-5.6424861110E-03
-1.1328E-02,-4.0416216246E-03
-1.1324E-02,-5.6011710303E-03
-1.1320E-02,-4.4792818627E-03
-1.1316E-02,-4.5701803808E-03
-1.1312E-02,-5.0284800394E-03
-1.1308E-02,-5.1550040169E-03
-1.1304E-02,-4.8998312753E-03
-1.1300E-02,-3.5798143517E-03
-1.1296E-02,-5.6889243304E-03
-1.1292E-02,-3.7100385858E-03
-1.1288E-02,-5.0218462805E-03
-1.1284E-02,-3.5981344362E-03
-1.1280E-02,-6.2775397758E-03
-1.1276E-02,-5.7069716640E-03
-1.1272E-02,-4.2050890396E-03
-1.1268E-02,-4.3307470808E-03
-1.1264E-02,-4.0678629283E-03
-1.1260E-02,-4.2076105546E-03
-1.1256E-02,-5.5199370482E-03
-1.1252E-02,-5.0140471316E-03
-1.1248E-02,-5.3471350686E-03
-1.1244E-02,-3.8139395001E-03
-1.1240E-02,-5.4926276292E-03
-1.1236E-02,-5.3304514893E-03
-1.1232E-02,-5.8956332483E-03
-1.1228E-02,-4.9218172841E-03
-1.1224E-02,-5.2333769760E-03
-1.1220E-02,-3.4258359966E-03
-1.1216E-02,-5.7854075656E-03
-1.1212E-02,-7.4213157701E-03
-1.1208E-02,-5.1173014547E-03
-1.1204E-02,-7.1295963196E-03
-1.1200E-02,-3.8051275490E-03
