[s],CH2[V]
-1.1876E-02,-4.9066974255E-03
-1.1872E-02,-5.5288888407E-03
-1.1868E-02,-7.8205777085E-03
-1.1864E-02,-7.5681687329E-03
-1.1860E-02,-7.5736332866E-03
-1.1856E-02,-5.4002286416E-03
-1.1852E-02,-4.9125720591E-03
-1.1848E-02,-6.3817359209E-03
-1.1844E-02,-7.6528454735E-03
-1.1840E-02,-6.0046197261E-03
-1.1836E-02,-4.7938348410E-03
-1.1832E-02,-4.5785476373E-03
-1.1828E-02,-3.4710170682E-03
-1.1824E-02,-6.7430211225E-03
-1.1820E-02,-6.9735146629E-03
-1.1816E-02,-7.2635651630E-03
-1.1812E-02,-6.0037995662E-03
-1.1808E-02,-6.8895388729E-03
-1.1804E-02,-6.9058037880E-03
-1.1800E-02,-9.2677927565E-03
-1.1796E-02,-5.1670838866E-03
-1.1792E-02,-6.6014624785E-03
-1.1788E-02,-5.1852513820E-03
-1.1784E-02,-6.6330863182E-03
-1.1780E-02,-6.4834500529E-03
-1.1776E-02,-6.3469125041E-03
-1.1772E-02,-3.6944820290E-03
-1.1768E-02,-8.7231636716E-03
-1.1764E-02,-7.4109936723E-03
-1.1760E-02,-4.4529678061E-03
-1.1756E-02,-8.8431072877E-03
-1.1752E-02,-8.1415606344E-03
-1.1748E-02,-5.2515603557E-03
-1.1744E-02,-4.9743892269E-03
-1.1740E-02,-8.2480717481E-03
-1.1736E-02,-7.8293753539E-03
-1.1732E-02,-9.9072933601E-03
-1.1728E-02,-4.1932441486E-03
-1.1724E-02,-8.3991194513E-03
-1.1720E-02,-3.6286975761E-03
-1.1716E-02,-6.4859868265E-03
-1.1712E-02,-5.7112742813E-03
-1.1708E-02,-8.0888510561E-03
-1.1704E-02,-6.1593438437E-03
-1.1700E-02,-8.8950157796E-03
-1.1696E-02,-7.4976254453E-03
-1.1692E-02,-6.2319232259E-03
-1.1688E-02,-7.4965668668E-03
-1.1684E-02,-5.8739711160E-03
-1.1680E-02,-7.8258801376E-03
-1.1676E-02,-2.6514055371E-03
-1.1672E-02,-8.4905434376E-03
-1.1668E-02,-5.9176303252E-03
-1.1664E-02,-8.7030459124E-03
-1.1660E-02,-5.3508712284E-03
-1.1656E-02,-9.0839815728E-03
-1.1652E-02,-5.9585620260E-03
-1.1648E-02,-6.8332577843E-03
-1.1644E-02,-7.6567746116E-03
-1.1640E-02,-5.3260804651E-03
-1.1636E-02,-7.8784466648E-03
-1.1632E-02,-6.8004466202E-03
-1.1628E-02,-5.9636021946E-03
-1.1624E-02,-6.6135455319E-03
-1.1620E-02,-6.1535121254E-03
-1.1616E-02,-7.8808117770E-03
-1.1612E-02,-5.3318406579E-03
-1.1608E-02,-6.7471362271E-03
-1.1604E-02,-2.2907545289E-03
-1.1600E-02,-6.0205317817E-03
-1.1596E-02,-6.1631346990E-03
-1.1592E-02,-7.0876694760E-03
-1.1588E-02,-6.2157059945E-03
-1.1584E-02,-4.8126603716E-03
-1.1580E-02,-4.8416806804E-03
-1.1576E-02,-4.8013402577E-03
-1.1572E-02,-8.1731081801E-03
-1.1568E-02,-3.9995242890E-03
-1.1564E-02,-6.9171286702E-03
-1.1560E-02,-4.0458013342E-03
-1.1556E-02,-7.5129080758E-03
-1.1552E-02,-7.5613404249E-03
-1.1548E-02,-5.2192737124E-03
-1.1544E-02,-6.7316008728E-03
-1.1540E-02,-6.2203551567E-03
-1.1536E-02,-6.0591698957E-03
-1.1532E-02,-6.7820836217E-03
-1.1528E-02,-4.1033269677E-03
-1.1524E-02,-5.7895137204E-03
-1.1520E-02,-5.3055764678E-03
-1.1516E-02,-6.0595179869E-03
-1.1512E-02,-7.0224524594E-03
-1.1508E-02,-5.6263305118E-03
-1.1504E-02,-4.5733644175E-03
-1.1500E-02,-4.9773551540E-03
-1.1496E-02,-2.4325658966E-03
-1.1492E-02,-2.6305200700E-03
-1.1488E-02,-5.8475781799E-03
-1.1484E-02,-2.5474216603E-03
-1.1480E-02,-4.6115447679E-03
-1.1476E-02,-5.4398490401E-03
-1.1472E-02,-4.6056129138E-03
-1.1468E-02,-4.6647025731E-03
-1.1464E-02,-4.8423816310E-03
-1.1460E-02,-5.5607797091E-03
-1.1456E-02,-4.3964864460E-03
-1.1452E-02,-5.5342961740E-03
-1.1448E-02,-4.2643119570E-03
-1.1444E-02,-4.2625619647E-03
-1.1440E-02,-7.1819330004E-04
-1.1436E-02,-4.4670774173E-03
-1.1432E-02,-5.7664634127E-03
-1.1428E-02,-7.3985243809E-03
-1.1424E-02,-3.8637639847E-03
-1.1420E-02,-8.6500597686E-03
-1.1416E-02,-6.6061402510E-03
-1.1412E-02,-8.4709740411E-03
-1.1408E-02,-7.8615332512E-03
-1.1404E-02,-3.2791473367E-03
-1.1400E-02,-4.5384170229E-03
-1.1396E-02,-4.8952056502E-03
-1.1392E-02,-7.1717263284E-03
-1.1388E-02,-6.3942528961E-03
-1.1384E-02,-6.7173148319E-03
-1.1380E-02,-7.1172143057E-03
-1.1376E-02,-1.4274980938E-03
-1.1372E-02,-5.5146171049E-03
-1.1368E-02,-4.5179368675E-03
-1.1364E-02,-7.2776032486E-03
-1.1360E-02,-5.5612327044E-03
-1.1356E-02,-4.2764045471E-03
-1.1352E-02,-7.5202609047E-03
-1.1348E-02,-7.3990298283E-03
-1.1344E-02,-4.2066480408E-03
-1.1340E-02,-8.6999607760E-03
-1.1336E-02,-6.7512990154E-03
-1.1332E-02,-7.3602295896E-03
-1.1328E-02,-8.4946251636E-03
-1.1324E-02,-4.9377633656E-03
-1.1320E-02,-5.8805896156E-03
-1.1316E-02,-9.7285414186E-03
-1.1312E-02,-5.6122256690E-03
-1.1308E-02,-9.2323923666E-03
-1.1304E-02,-4.2989446391E-03
-1.1300E-02,-7.3154355079E-03
-1.1296E-02,-7.9522467501E-03
-1.1292E-02,-1.0185427700E-02
-1.1288E-02,-5.8402158143E-03
-1.1284E-02,-5.2616931451E-03
-1.1280E-02,-5.9262801511E-03
-1.1276E-02,-6.9165183187E-03
-1.1272E-02,-9.2593002869E-03
-1.1268E-02,-9.0630627272E-03
-1.1264E-02,-9.3915272279E-03
-1.1260E-02,-6.2418557437E-03
-1.1256E-02,-8.0122996205E-03
-1.1252E-02,-6.9971419436E-03
-1.1248E-02,-9.3351316984E-03
-1.1244E-02,-1.0846424122E-02
-1.1240E-02,-8.9027929935E-03
-1.1236E-02,-9.2636061263E-03
-1.1232E-02,-6.4677716475E-03
-1.1228E-02,-6.2235308921E-03
-1.1224E-02,-8.0612421853E-03
-1.1220E-02,-8.9346886303E-03
-1.1216E-02,-6.6932345560E-03
-1.1212E-02,-9.3126392902E-03
-1.1208E-02,-8.6345339510E-03
-1.1204E-02,-7.0467282385E-03
-1.1200E-02,-9.4784689450E-03
-1.1196E-02,-8.7782526673E-03
-1.1192E-02,-8.7225342466E-03
-1.1188E-02,-1.0484547643E-02
-1.1184E-02,-6.1250544844E-03
-1.1180E-02,-9.7873974278E-03
-1.1176E-02,-6.8669606339E-03
-1.1172E-02,-6.6292811577E-03
-1.1168E-02,-6.6956807305E-03
-1.1164E-02,-7.2207118086E-03
-1.1160E-02,-6.1892606063E-03
-1.1156E-02,-6.5122462482E-03
-1.1152E-02,-3.7786819325E-03
-1.1148E-02,-1.0181050335E-02
-1.1144E-02,-6.2038899700E-03
-1.1140E-02,-7.5383711795E-03
-1.1136E-02,-7.7652407576E-03
-1.1132E-02,-9.2537737443E-03
-1.1128E-02,-7.3543787978E-03
-1.1124E-02,-6.0888768500E-03
-1.1120E-02,-7.2132063919E-03
-1.1116E-02,-7.3159504920E-03
-1.1112E-02,-8.6869288168E-03
-1.1108E-02,-8.4154797338E-03
-1.1104E-02,-5.2392961043E-03
-1.1100E-02,-7.4785185808E-03
-1.1096E-02,-9.4043827574E-03
-1.1092E-02,-1.1390914924E-02
-1.1088E-02,-5.2001048591E-03
-1.1084E-02,-9.0670157071E-03
-1.1080E-02,-1.0097041166E-02
-1.1076E-02,-9.3471146160E-03
-1.1072E-02,-8.9680052418E-03
-1.1068E-02,-7.3220969229E-03
-1.1064E-02,-9.6924448466E-03
-1.1060E-02,-1.0147705113E-02
-1.1056E-02,-8.2170677967E-03
-1.1052E-02,-6.2169362344E-03
-1.1048E-02,-9.5979738709E-03
-1.1044E-02,-7.6420308070E-03
-1.1040E-02,-9.1590834236E-03
-1.1036E-02,-9.8691702302E-03
-1.1032E-02,-8.0499506816E-03
-1.1028E-02,-6.4243794670E-03
-1.1024E-02,-6.5355731215E-03
-1.1020E-02,-7.0955897410E-03
-1.1016E-02,-8.0745411733E-03
-1.1012E-02,-8.6954689701E-03
-1.1008E-02,-6.5023328039E-03
-1.1004E-02,-8.3935118464E-03
-1.1000E-02,-9.5396709929E-03
-1.0996E-02,-8.8272047689E-03
-1.0992E-02,-7.8054762761E-03
-1.0988E-02,-4.1899205937E-03
