[s],CH2[V]
-1.1876E-02,-9.0915918937E-03
-1.1872E-02,-6.9062424781E-03
-1.1868E-02,-8.2422209563E-03
-1.1864E-02,-7.5397492389E-03
-1.1860E-02,-6.5070296498E-03
-1.1856E-02,-8.6103344658E-03
-1.1852E-02,-6.4879037118E-03
-1.1848E-02,-9.1136360750E-03
-1.1844E-02,-6.8343783516E-03
-1.1840E-02,-7.4310160641E-03
-1.1836E-02,-8.2460451902E-03
-1.1832E-02,-7.1285010410E-03
-1.1828E-02,-8.2765293890E-03
-1.1824E-02,-6.9401265258E-03
-1.1820E-02,-7.7922821922E-03
-1.1816E-02,-9.0516138672E-03
-1.1812E-02,-6.7672539864E-03
-1.1808E-02,-9.5043325919E-03
-1.1804E-02,-5.5518533177E-03
-1.1800E-02,-7.0204974271E-03
-1.1796E-02,-9.9982738879E-03
-1.1792E-02,-8.1108189435E-03
-1.1788E-02,-1.0435051947E-02
-1.1784E-02,-5.0106240818E-03
-1.1780E-02,-7.3564387342E-03
-1.1776E-02,-9.0063095699E-03
-1.1772E-02,-8.9442873621E-03
-1.1768E-02,-8.2110548803E-03
-1.1764E-02,-7.8445912273E-03
-1.1760E-02,-8.3559799946E-03
-1.1756E-02,-1.2264785754E-02
-1.1752E-02,-8.9779759066E-03
-1.1748E-02,-7.8158141054E-03
-1.1744E-02,-7.7832413599E-03
-1.1740E-02,-6.9288922426E-03
-1.1736E-02,-9.2935753410E-03
-1.1732E-02,-4.6641971257E-03
-1.1728E-02,-8.8997316990E-03
-1.1724E-02,-9.8329925958E-03
-1.1720E-02,-5.9763099046E-03
-1.1716E-02,-9.3638659049E-03
-1.1712E-02,-7.1197892263E-03
-1.1708E-02,-9.8823976927E-03
-1.1704E-02,-4.4842387862E-03
-1.1700E-02,-6.0640193295E-03
-1.1696E-02,-5.4606391398E-03
-1.1692E-02,-6.3936806915E-03
-1.1688E-02,-7.2255421689E-03
-1.1684E-02,-5.2317430038E-03
-1.1680E-02,-1.0025844612E-02
-1.1676E-02,-6.0439301805E-03
-1.1672E-02,-6.8459225790E-03
-1.1668E-02,-5.0482513011E-03
-1.1664E-02,-9.3267107544E-03
-1.1660E-02,-1.0804452917E-02
-1.1656E-02,-5.3810836301E-03
-1.1652E-02,-7.1036721307E-03
-1.1648E-02,-6.6662837204E-03
-1.1644E-02,-1.0617303873E-02
-1.1640E-02,-8.4653044474E-03
-1.1636E-02,-9.0893507591E-03
-1.1632E-02,-6.8080903197E-03
-1.1628E-02,-3.6842061885E-03
-1.1624E-02,-6.8079472685E-03
-1.1620E-02,-8.9595175406E-03
-1.1616E-02,-5.2599526895E-03
-1.1612E-02,-9.0573263763E-03
-1.1608E-02,-9.4146538295E-03
-1.1604E-02,-6.2584639816E-03
-1.1600E-02,-8.5470057242E-03
-1.1596E-02,-4.9921609474E-03
-1.1592E-02,-8.2687187966E-03
-1.1588E-02,-6.9673300851E-03
-1.1584E-02,-1.0393838912E-02
-1.1580E-02,-7.0358944985E-03
-1.1576E-02,-6.7889500766E-03
-1.1572E-02,-8.5255242107E-03
-1.1568E-02,-7.5070429789E-03
-1.1564E-02,-7.0937157711E-03
-1.1560E-02,-5.7687283892E-03
-1.1556E-02,-6.2469912798E-03
-1.1552E-02,-7.7344895299E-03
-1.1548E-02,-9.6795130231E-03
-1.1544E-02,-6.0939647024E-03
-1.1540E-02,-8.0430079328E-03
-1.1536E-02,-7.4681902881E-03
-1.1532E-02,-7.8443003566E-03
-1.1528E-02,-7.7519751481E-03
-1.1524E-02,-7.0430089088E-03
-1.1520E-02,-5.3665544022E-03
-1.1516E-02,-6.4758445004E-03
-1.1512E-02,-5.9868575423E-03
-1.1508E-02,-6.7843247562E-03
-1.1504E-02,-7.0406914803E-03
-1.1500E-02,-5.3527308933E-03
-1.1496E-02,-6.4338828314E-03
-1.1492E-02,-6.9022132042E-03
-1.1488E-02,-1.0959348696E-02
-1.1484E-02,-7.8360844526E-03
-1.1480E-02,-7.7018404904E-03
-1.1476E-02,-1.1276383410E-02
-1.1472E-02,-8.2786942297E-03
-1.1468E-02,-7.8958130737E-03
-1.1464E-02,-7.6154042207E-03
-1.1460E-02,-8.6799240791E-03
-1.1456E-02,-6.4290429344E-03
-1.1452E-02,-6.1266518889E-03
-1.1448E-02,-5.2848769672E-03
-1.1444E-02,-7.3203040152E-03
-1.1440E-02,-7.1212531163E-03
-1.1436E-02,-8.2992363740E-03
-1.1432E-02,-8.1645871003E-03
-1.1428E-02,-8.3443642416E-03
-1.1424E-02,-1.0380592376E-02
-1.1420E-02,-8.6285925602E-03
