[s],CH2[V]
-1.1876E-02,-1.0300980206E-02
-1.1872E-02,-1.0168991684E-02
-1.1868E-02,-1.2792063296E-02
-1.1864E-02,-1.2340717862E-02
-1.1860E-02,-1.1673122014E-02
-1.1856E-02,-1.1992045003E-02
-1.1852E-02,-1.0307427045E-02
-1.1848E-02,-1.1810389124E-02
-1.1844E-02,-1.3650579970E-02
-1.1840E-02,-1.1180272675E-02
-1.1836E-02,-8.4323603294E-03
-1.1832E-02,-9.9518305103E-03
-1.1828E-02,-1.1788893305E-02
-1.1824E-02,-1.1732307041E-02
-1.1820E-02,-1.1491962045E-02
-1.1816E-02,-1.3176675371E-02
-1.1812E-02,-1.4901891244E-02
-1.1808E-02,-1.0506129852E-02
-1.1804E-02,-1.0232596991E-02
-1.1800E-02,-1.0011039379E-02
-1.1796E-02,-1.2212706162E-02
-1.1792E-02,-1.3075910145E-02
-1.1788E-02,-1.2162767007E-02
-1.1784E-02,-1.2763934673E-02
-1.1780E-02,-1.0123959184E-02
-1.1776E-02,-1.4183064013E-02
-1.1772E-02,-7.1890837612E-03
-1.1768E-02,-1.1230950927E-02
-1.1764E-02,-1.2633410040E-02
-1.1760E-02,-1.3635154288E-02
-1.1756E-02,-1.1512699692E-02
-1.1752E-02,-1.0990152936E-02
-1.1748E-02,-1.1185317612E-02
-1.1744E-02,-1.3238969376E-02
-1.1740E-02,-1.2015162068E-02
-1.1736E-02,-1.1229467963E-02
-1.1732E-02,-8.6223274806E-03
-1.1728E-02,-1.5336466315E-02
-1.1724E-02,-9.2340237103E-03
-1.1720E-02,-1.1631255712E-02
-1.1716E-02,-1.1137414552E-02
-1.1712E-02,-1.0209336875E-02
-1.1708E-02,-7.4239212879E-03
-1.1704E-02,-1.1982446272E-02
-1.1700E-02,-9.8801523503E-03
-1.1696E-02,-1.4831920161E-02
-1.1692E-02,-1.1305099103E-02
-1.1688E-02,-9.4753605274E-03
-1.1684E-02,-1.2763257564E-02
-1.1680E-02,-1.3607049507E-02
-1.1676E-02,-9.1416508180E-03
-1.1672E-02,-9.7065597867E-03
-1.1668E-02,-1.1285901640E-02
-1.1664E-02,-1.1617456045E-02
-1.1660E-02,-1.3732119122E-02
-1.1656E-02,-1.2028570729E-02
-1.1652E-02,-1.1004019360E-02
-1.1648E-02,-1.0606194128E-02
-1.1644E-02,-1.0835886582E-02
-1.1640E-02,-1.1893234810E-02
-1.1636E-02,-1.3872643029E-02
-1.1632E-02,-1.3054628903E-02
-1.1628E-02,-8.3207899736E-03
-1.1624E-02,-1.0596533407E-02
-1.1620E-02,-1.0350523586E-02
-1.1616E-02,-8.9475637939E-03
-1.1612E-02,-9.9361377998E-03
-1.1608E-02,-1.1628547277E-02
-1.1604E-02,-1.2686763349E-02
-1.1600E-02,-1.0409026736E-02
-1.1596E-02,-1.1451492876E-02
-1.1592E-02,-1.3337507772E-02
-1.1588E-02,-1.2216363503E-02
-1.1584E-02,-9.7855955439E-03
-1.1580E-02,-1.0903492553E-02
-1.1576E-02,-6.0732037736E-03
-1.1572E-02,-1.4073892148E-02
-1.1568E-02,-9.8231703112E-03
-1.1564E-02,-8.7719685143E-03
-1.1560E-02,-1.4052720578E-02
-1.1556E-02,-1.3624396842E-02
-1.1552E-02,-8.8138681944E-03
-1.1548E-02,-1.0368633861E-02
-1.1544E-02,-1.2069850521E-02
-1.1540E-02,-1.0182090400E-02
-1.1536E-02,-6.3961655736E-03
-1.1532E-02,-1.1603799429E-02
-1.1528E-02,-9.1421514970E-03
-1.1524E-02,-1.2161927774E-02
-1.1520E-02,-1.0462298982E-02
-1.1516E-02,-1.1873832306E-02
-1.1512E-02,-9.8230606386E-03
-1.1508E-02,-1.1898084243E-02
-1.1504E-02,-8.8871771375E-03
-1.1500E-02,-9.2536503272E-03
-1.1496E-02,-9.9155432034E-03
-1.1492E-02,-1.0127025247E-02
-1.1488E-02,-9.4772297290E-03
-1.1484E-02,-1.3408914135E-02
-1.1480E-02,-1.1663723554E-02
-1.1476E-02,-1.1077457049E-02
-1.1472E-02,-1.1345983120E-02
-1.1468E-02,-1.2497630662E-02
-1.1464E-02,-7.9923063994E-03
-1.1460E-02,-1.3175573877E-02
-1.1456E-02,-1.2444735118E-02
-1.1452E-02,-1.2115769938E-02
-1.1448E-02,-1.0909576995E-02
-1.1444E-02,-1.1045866588E-02
-1.1440E-02,-6.4528472053E-03
-1.1436E-02,-8.9617258571E-03
-1.1432E-02,-6.1061627572E-03
-1.1428E-02,-1.0213599799E-02
-1.1424E-02,-1.4338965918E-02
