[s],CH2[V]
-1.1876E-02,5.4156951107E-04
-1.1872E-02,-1.1015007879E-03
-1.1868E-02,5.6255416173E-04
-1.1864E-02,-1.9835275022E-03
-1.1860E-02,-3.1164544969E-03
-1.1856E-02,-1.1910355517E-03
-1.1852E-02,-1.8983872699E-03
-1.1848E-02,-1.9804051723E-03
-1.1844E-02,-9.2964294589E-04
-1.1840E-02,5.5077246866E-04
-1.1836E-02,-9.0265014676E-04
-1.1832E-02,-3.2002748439E-03
-1.1828E-02,-6.0104300047E-04
-1.1824E-02,1.9672849127E-04
-1.1820E-02,-2.5823902911E-04
-1.1816E-02,3.0687684226E-03
-1.1812E-02,1.6712025146E-03
-1.1808E-02,1.8365486680E-03
-1.1804E-02,1.7253407007E-03
-1.1800E-02,-2.3733228240E-03
-1.1796E-02,-2.4262116968E-03
-1.1792E-02,-1.7265809262E-03
-1.1788E-02,-2.9958223195E-03
-1.1784E-02,-4.2691473465E-03
-1.1780E-02,-2.5446218129E-03
-1.1776E-02,-2.3912671608E-03
-1.1772E-02,1.3980816215E-03
-1.1768E-02,-1.3695271526E-03
-1.1764E-02,2.0307739885E-03
-1.1760E-02,-3.9006513878E-03
-1.1756E-02,-1.1360180778E-03
-1.1752E-02,-4.0214723927E-03
-1.1748E-02,-2.3511785054E-03
-1.1744E-02,-4.1235536963E-03
-1.1740E-02,-4.5249895675E-03
-1.1736E-02,1.6955152048E-05
-1.1732E-02,-3.4910806744E-03
-1.1728E-02,-3.3483327886E-03
-1.1724E-02,-4.2174391226E-03
-1.1720E-02,-3.9552378009E-03
-1.1716E-02,-2.5915769238E-03
-1.1712E-02,-5.1712546281E-03
-1.1708E-02,-4.8837351595E-03
-1.1704E-02,-5.3564887067E-03
-1.1700E-02,-4.4770388206E-03
-1.1696E-02,-2.4714177689E-03
-1.1692E-02,-4.3582415127E-03
-1.1688E-02,-3.6238512190E-03
-1.1684E-02,-3.3532804511E-03
-1.1680E-02,-3.1772340713E-03
-1.1676E-02,-4.7360930168E-03
-1.1672E-02,-3.1159719377E-03
-1.1668E-02,-2.7122739510E-03
-1.1664E-02,-3.9611734701E-03
-1.1660E-02,-5.7304434974E-03
-1.1656E-02,-4.7100519847E-03
-1.1652E-02,-4.6636690784E-03
-1.1648E-02,-6.6347270639E-03
-1.1644E-02,-4.1633676936E-03
-1.1640E-02,-2.9953836293E-03
-1.1636E-02,-5.1520304603E-03
-1.1632E-02,-3.6039137028E-03
-1.1628E-02,-3.7326482975E-03
-1.1624E-02,-4.3658804443E-03
-1.1620E-02,-6.7615485879E-03
-1.1616E-02,-5.0648703457E-03
-1.1612E-02,-5.2211928323E-03
-1.1608E-02,-5.5796389706E-03
-1.1604E-02,-3.9522413561E-03
-1.1600E-02,-3.5063184833E-03
-1.1596E-02,-5.8289294487E-03
-1.1592E-02,-5.3728880910E-03
-1.1588E-02,-5.9102473542E-03
-1.1584E-02,-4.5432543388E-03
-1.1580E-02,-4.6699137382E-03
-1.1576E-02,-5.2352232896E-03
-1.1572E-02,-4.7531046601E-03
-1.1568E-02,-5.0430559983E-03
-1.1564E-02,-4.9989733546E-03
-1.1560E-02,-6.2664733385E-03
-1.1556E-02,-4.4946207611E-03
-1.1552E-02,-5.4870295607E-03
