[s],CH2[V]
-1.1876E-02,1.9750411996E-01
-1.1872E-02,1.8869396715E-01
-1.1868E-02,1.8469684162E-01
-1.1864E-02,1.7661329802E-01
-1.1860E-02,1.6931445194E-01
-1.1856E-02,1.6417048061E-01
-1.1852E-02,1.5861144162E-01
-1.1848E-02,1.5151325815E-01
-1.1844E-02,1.4449973711E-01
-1.1840E-02,1.3665338185E-01
-1.1836E-02,1.3308126126E-01
-1.1832E-02,1.2680785823E-01
-1.1828E-02,1.2686835456E-01
-1.1824E-02,1.1903554147E-01
-1.1820E-02,1.1320859630E-01
-1.1816E-02,1.1202971182E-01
-1.1812E-02,1.0704249117E-01
-1.1808E-02,1.0894714086E-01
-1.1804E-02,1.0661213133E-01
-1.1800E-02,1.0133051620E-01
-1.1796E-02,9.2674272111E-02
-1.1792E-02,9.0452182393E-02
-1.1788E-02,8.5593288154E-02
-1.1784E-02,8.5728285519E-02
-1.1780E-02,8.3588516966E-02
-1.1776E-02,7.3035634054E-02
-1.1772E-02,7.1949489631E-02
-1.1768E-02,6.8851521599E-02
-1.1764E-02,6.8414838907E-02
-1.1760E-02,6.3523195492E-02
-1.1756E-02,5.9474361736E-02
-1.1752E-02,5.8442672115E-02
-1.1748E-02,5.5004418789E-02
-1.1744E-02,5.2271255017E-02
-1.1740E-02,5.3646343678E-02
-1.1736E-02,5.0168207693E-02
-1.1732E-02,5.2517398352E-02
-1.1728E-02,4.5239757218E-02
-1.1724E-02,4.6295579567E-02
-1.1720E-02,4.3718136502E-02
-1.1716E-02,3.6945418224E-02
-1.1712E-02,4.0151609215E-02
-1.1708E-02,3.6298779368E-02
-1.1704E-02,3.8018087229E-02
-1.1700E-02,3.2489804233E-02
-1.1696E-02,3.4491671483E-02
-1.1692E-02,3.2318805664E-02
-1.1688E-02,3.1229742998E-02
-1.1684E-02,3.1045655248E-02
-1.1680E-02,2.9667200117E-02
-1.1676E-02,2.8807605791E-02
-1.1672E-02,2.8326930105E-02
-1.1668E-02,2.7258180701E-02
-1.1664E-02,2.6591991522E-02
-1.1660E-02,2.5445231561E-02
-1.1656E-02,2.2941955745E-02
-1.1652E-02,2.5941876523E-02
-1.1648E-02,2.3648170634E-02
-1.1644E-02,2.4002527392E-02
-1.1640E-02,2.2720822518E-02
-1.1636E-02,2.0062722449E-02
-1.1632E-02,1.9365085861E-02
-1.1628E-02,1.9120210912E-02
-1.1624E-02,2.2792381469E-02
-1.1620E-02,1.9179090763E-02
-1.1616E-02,1.8897103579E-02
-1.1612E-02,1.7013201071E-02
-1.1608E-02,1.7859887416E-02
-1.1604E-02,1.7659625350E-02
-1.1600E-02,1.7645196258E-02
-1.1596E-02,1.5493382799E-02
-1.1592E-02,1.5483307230E-02
-1.1588E-02,1.4622821219E-02
-1.1584E-02,1.4524316201E-02
-1.1580E-02,1.4944362044E-02
-1.1576E-02,1.2343739925E-02
-1.1572E-02,9.7653908696E-03
-1.1568E-02,1.3641452223E-02
-1.1564E-02,1.3996362111E-02
-1.1560E-02,1.1491908508E-02
-1.1556E-02,1.2902712272E-02
-1.1552E-02,9.1461081610E-03
-1.1548E-02,9.0104098455E-03
-1.1544E-02,1.1074008432E-02
-1.1540E-02,1.0133232582E-02
-1.1536E-02,9.8714299145E-03
-1.1532E-02,7.9737372766E-03
-1.1528E-02,9.7717137302E-03
-1.1524E-02,9.4846291572E-03
-1.1520E-02,9.8174662545E-03
-1.1516E-02,9.9252123764E-03
-1.1512E-02,1.0648431278E-02
-1.1508E-02,6.7809625306E-03
-1.1504E-02,6.7616172475E-03
-1.1500E-02,9.2655701716E-03
-1.1496E-02,6.4357372041E-03
-1.1492E-02,3.9107366884E-03
-1.1488E-02,9.2244525043E-03
-1.1484E-02,6.8773456232E-03
-1.1480E-02,6.2999768998E-03
-1.1476E-02,8.1619878140E-03
-1.1472E-02,5.2266307858E-03
-1.1468E-02,5.9024330016E-03
-1.1464E-02,7.5669332009E-03
-1.1460E-02,3.4057518440E-03
-1.1456E-02,7.2731442975E-03
-1.1452E-02,7.7564378200E-03
-1.1448E-02,6.1450954260E-03
-1.1444E-02,6.2608667170E-03
-1.1440E-02,4.1840215944E-03
