[s],CH2[V]
-1.1876E-02,3.2020191169E-02
-1.1872E-02,2.9341115034E-02
-1.1868E-02,3.2654947243E-02
-1.1864E-02,3.0424031269E-02
-1.1860E-02,3.0506319056E-02
-1.1856E-02,2.9665917425E-02
-1.1852E-02,3.0957554817E-02
-1.1848E-02,3.0543231020E-02
-1.1844E-02,3.4061669280E-02
-1.1840E-02,3.5744079483E-02
-1.1836E-02,3.7616914600E-02
-1.1832E-02,3.4582303920E-02
-1.1828E-02,3.3289717622E-02
-1.1824E-02,3.5207189465E-02
-1.1820E-02,3.5690220727E-02
-1.1816E-02,4.0161136421E-02
-1.1812E-02,3.4107102324E-02
-1.1808E-02,3.7277473308E-02
-1.1804E-02,3.7003067835E-02
-1.1800E-02,3.8507722686E-02
-1.1796E-02,4.0780533571E-02
-1.1792E-02,3.9969786442E-02
-1.1788E-02,4.2510298471E-02
-1.1784E-02,4.3429826458E-02
-1.1780E-02,4.2805579874E-02
-1.1776E-02,4.3280652724E-02
-1.1772E-02,4.4128049556E-02
-1.1768E-02,4.6065090795E-02
-1.1764E-02,4.4263595283E-02
-1.1760E-02,4.5372608816E-02
-1.1756E-02,4.5460528049E-02
-1.1752E-02,4.6802309636E-02
-1.1748E-02,4.7321857086E-02
-1.1744E-02,5.0604795017E-02
-1.1740E-02,5.1754373085E-02
-1.1736E-02,4.8236588092E-02
-1.1732E-02,4.9920581394E-02
-1.1728E-02,4.9243525096E-02
-1.1724E-02,5.1028502969E-02
-1.1720E-02,5.1598638073E-02
-1.1716E-02,5.3873165572E-02
-1.1712E-02,5.7281568892E-02
-1.1708E-02,5.9772117924E-02
-1.1704E-02,5.8078192105E-02
-1.1700E-02,6.0267279923E-02
-1.1696E-02,6.0454958256E-02
-1.1692E-02,6.3044307945E-02
-1.1688E-02,6.4283345431E-02
-1.1684E-02,6.4875095563E-02
-1.1680E-02,6.5655186831E-02
-1.1676E-02,6.8525708312E-02
-1.1672E-02,6.9006827457E-02
-1.1668E-02,7.1240737968E-02
-1.1664E-02,7.2667139075E-02
-1.1660E-02,7.5438783605E-02
-1.1656E-02,7.3195288668E-02
-1.1652E-02,7.9497998106E-02
-1.1648E-02,8.1137073349E-02
-1.1644E-02,8.1912405782E-02
-1.1640E-02,8.3845289002E-02
-1.1636E-02,9.0628302194E-02
-1.1632E-02,9.0607431032E-02
-1.1628E-02,9.4204151647E-02
-1.1624E-02,9.5257036679E-02
-1.1620E-02,9.6260859937E-02
-1.1616E-02,9.9936072715E-02
-1.1612E-02,1.0301840049E-01
-1.1608E-02,1.0639219974E-01
-1.1604E-02,1.0933459965E-01
-1.1600E-02,1.1666511726E-01
-1.1596E-02,1.1705887507E-01
-1.1592E-02,1.2204206645E-01
-1.1588E-02,1.2231873690E-01
-1.1584E-02,1.2811978981E-01
-1.1580E-02,1.3364239368E-01
-1.1576E-02,1.3695522930E-01
-1.1572E-02,1.4035824436E-01
-1.1568E-02,1.4493374474E-01
-1.1564E-02,1.5539580925E-01
-1.1560E-02,1.5679284673E-01
-1.1556E-02,1.6500757299E-01
-1.1552E-02,1.7105660030E-01
-1.1548E-02,1.7165521212E-01
-1.1544E-02,1.8454644718E-01
-1.1540E-02,1.9130337738E-01
-1.1536E-02,2.0377601619E-01
-1.1532E-02,2.0612977495E-01
-1.1528E-02,2.0991915684E-01
-1.1524E-02,2.2519019074E-01
-1.1520E-02,2.3382587838E-01
-1.1516E-02,2.4405581379E-01
-1.1512E-02,2.5672090407E-01
-1.1508E-02,2.6550121641E-01
-1.1504E-02,2.7440465764E-01
-1.1500E-02,2.8987950128E-01
-1.1496E-02,3.0454840907E-01
-1.1492E-02,3.1652409774E-01
-1.1488E-02,3.3460414589E-01
-1.1484E-02,3.5016138222E-01
-1.1480E-02,3.6388735408E-01
-1.1476E-02,3.8280045104E-01
-1.1472E-02,3.9832995929E-01
-1.1468E-02,4.2307521325E-01
-1.1464E-02,4.2917280165E-01
-1.1460E-02,4.5769634151E-01
