[s],CH2[V]
-1.1876E-02,-8.1230259745E-03
-1.1872E-02,-6.6171790309E-03
-1.1868E-02,-7.2495366141E-03
-1.1864E-02,-2.6851274602E-03
-1.1860E-02,-5.0421668591E-03
-1.1856E-02,-1.1658616067E-02
-1.1852E-02,-5.7758094208E-03
-1.1848E-02,-8.0477238522E-03
-1.1844E-02,-5.3925038798E-03
-1.1840E-02,-5.2246667406E-03
-1.1836E-02,-5.4458381147E-03
-1.1832E-02,-5.3090764524E-03
-1.1828E-02,-5.3756906019E-03
-1.1824E-02,-8.3875466137E-03
-1.1820E-02,-7.0414067360E-03
-1.1816E-02,-6.1230040847E-03
-1.1812E-02,-5.3832246289E-03
-1.1808E-02,-7.7073574962E-03
-1.1804E-02,-5.7390643502E-03
-1.1800E-02,-3.9335443329E-03
-1.1796E-02,-6.2677193906E-03
-1.1792E-02,-7.1446991989E-03
-1.1788E-02,-4.7293903005E-03
-1.1784E-02,-3.3809902147E-03
-1.1780E-02,-6.7898322253E-03
-1.1776E-02,-8.5264826534E-03
-1.1772E-02,-1.0942699899E-03
-1.1768E-02,-7.2417164849E-03
-1.1764E-02,-2.1837427363E-03
-1.1760E-02,-6.4538098558E-03
-1.1756E-02,-7.7904320641E-03
-1.1752E-02,-6.6398621740E-03
-1.1748E-02,-5.9101392137E-03
-1.1744E-02,-3.5351039808E-03
-1.1740E-02,-5.5562306827E-03
-1.1736E-02,-5.3740741240E-03
-1.1732E-02,-7.6014376607E-03
-1.1728E-02,-8.1288195458E-03
-1.1724E-02,-5.3877593501E-03
-1.1720E-02,-8.5300255534E-03
-1.1716E-02,-6.2832356714E-03
-1.1712E-02,-7.0556689351E-03
-1.1708E-02,-6.8329192300E-03
-1.1704E-02,-7.4712134357E-03
-1.1700E-02,-8.1854821041E-03
-1.1696E-02,-7.7738381313E-03
-1.1692E-02,-7.1052218514E-03
-1.1688E-02,-4.1476108336E-03
-1.1684E-02,-4.0922691142E-03
-1.1680E-02,-8.1771612959E-03
-1.1676E-02,-7.8851653002E-03
-1.1672E-02,-6.1131430925E-03
-1.1668E-02,-7.1025134164E-03
-1.1664E-02,-8.6634731975E-03
-1.1660E-02,-8.3064509200E-03
-1.1656E-02,-5.4389096710E-03
-1.1652E-02,-6.3223792328E-03
-1.1648E-02,-7.1149684027E-03
-1.1644E-02,-5.8100701699E-03
-1.1640E-02,-7.3811579720E-03
-1.1636E-02,-7.4090243349E-03
-1.1632E-02,-6.6204119868E-03
-1.1628E-02,-7.4876309386E-03
-1.1624E-02,-7.2398854303E-03
-1.1620E-02,-6.7699671897E-03
-1.1616E-02,-8.1109190793E-03
-1.1612E-02,-4.2511607885E-03
-1.1608E-02,-7.8324700270E-03
-1.1604E-02,-5.9245969160E-03
-1.1600E-02,-6.6810513668E-03
-1.1596E-02,-7.6502324060E-03
-1.1592E-02,-6.2853194497E-03
-1.1588E-02,-3.3919670058E-03
-1.1584E-02,-6.6617537675E-03
-1.1580E-02,-5.2117587590E-03
-1.1576E-02,-7.9109621899E-03
