[s],CH2[V]
-1.1876E-02,1.0977611034E-02
-1.1872E-02,8.3364243794E-03
-1.1868E-02,7.6764817671E-03
-1.1864E-02,8.0009265307E-03
-1.1860E-02,1.5043739674E-02
-1.1856E-02,9.5850558288E-03
-1.1852E-02,6.3732810745E-03
-1.1848E-02,6.2891240864E-03
-1.1844E-02,1.0899781675E-02
-1.1840E-02,9.4597954785E-03
-1.1836E-02,4.1906210205E-03
-1.1832E-02,7.9649062526E-03
-1.1828E-02,4.9286552523E-03
-1.1824E-02,7.5714774589E-03
-1.1820E-02,5.7516618639E-03
-1.1816E-02,4.6949430612E-03
-1.1812E-02,6.4533372632E-03
-1.1808E-02,7.0188756570E-03
-1.1804E-02,3.6077448281E-03
-1.1800E-02,4.6748729857E-03
-1.1796E-02,5.7837243937E-03
-1.1792E-02,5.5727144192E-03
-1.1788E-02,2.5495192200E-03
-1.1784E-02,4.5436998548E-03
-1.1780E-02,4.0779300974E-03
-1.1776E-02,3.7467094780E-03
-1.1772E-02,5.9521957263E-03
-1.1768E-02,3.7670084353E-03
-1.1764E-02,4.3064495320E-03
-1.1760E-02,5.3333755497E-03
-1.1756E-02,4.5104643056E-03
-1.1752E-02,3.8082214700E-03
-1.1748E-02,1.2732741313E-03
-1.1744E-02,2.5788256311E-03
-1.1740E-02,3.3735605682E-03
-1.1736E-02,3.4161325887E-03
-1.1732E-02,4.2227598442E-03
-1.1728E-02,3.1377741354E-03
-1.1724E-02,1.8804642499E-03
-1.1720E-02,1.4493557848E-03
-1.1716E-02,2.5450226457E-03
-1.1712E-02,8.9947195464E-04
-1.1708E-02,3.8254495961E-03
-1.1704E-02,1.0041758555E-03
-1.1700E-02,-5.5000330136E-04
-1.1696E-02,-2.2074653844E-03
-1.1692E-02,2.7273079505E-03
-1.1688E-02,1.1508748039E-03
-1.1684E-02,9.2787714352E-04
-1.1680E-02,-1.0865833751E-03
-1.1676E-02,3.7028452288E-03
-1.1672E-02,3.3663722753E-04
-1.1668E-02,1.4262864036E-03
-1.1664E-02,1.4196059152E-03
-1.1660E-02,-2.1233584369E-04
-1.1656E-02,-3.7484075420E-03
-1.1652E-02,1.0337492954E-03
-1.1648E-02,-2.5605585237E-03
-1.1644E-02,2.0427441510E-05
-1.1640E-02,-3.1168963176E-04
-1.1636E-02,3.5052272527E-04
-1.1632E-02,-1.8463327707E-03
-1.1628E-02,2.3063847268E-03
-1.1624E-02,3.1353041190E-03
-1.1620E-02,-2.7529742065E-04
-1.1616E-02,2.1938225498E-03
-1.1612E-02,-1.8027975391E-03
-1.1608E-02,-1.1557533717E-03
-1.1604E-02,-8.9976811745E-04
-1.1600E-02,1.0427519807E-03
-1.1596E-02,-1.7298605290E-03
-1.1592E-02,-6.3333771828E-05
-1.1588E-02,-1.2590935184E-03
-1.1584E-02,-3.6246921441E-03
-1.1580E-02,1.9683575560E-05
-1.1576E-02,-2.4961330567E-03
-1.1572E-02,-4.4800950714E-03
-1.1568E-02,-4.6041347186E-03
-1.1564E-02,9.9197836126E-04
-1.1560E-02,-3.9920188723E-03
-1.1556E-02,-3.4260847037E-03
-1.1552E-02,-1.1027815330E-03
-1.1548E-02,-1.6014625903E-03
-1.1544E-02,8.4958525226E-04
-1.1540E-02,3.7130328816E-04
-1.1536E-02,-1.6476156578E-03
-1.1532E-02,-4.0705706126E-04
-1.1528E-02,-1.9364645283E-03
-1.1524E-02,-3.9260770632E-03
-1.1520E-02,-4.6282006894E-03
-1.1516E-02,-4.5460988694E-03
-1.1512E-02,-4.6891452453E-03
-1.1508E-02,9.3788836660E-05
-1.1504E-02,-4.0528013035E-03
-1.1500E-02,-2.8695633005E-03
-1.1496E-02,-1.7637588818E-03
-1.1492E-02,-2.3998644050E-03
-1.1488E-02,-1.8131758724E-04
-1.1484E-02,-2.5714208740E-03
-1.1480E-02,-6.3965417144E-03
-1.1476E-02,-2.4654104393E-03
-1.1472E-02,-2.2394706937E-03
-1.1468E-02,-3.8672687378E-03
-1.1464E-02,-1.9580890929E-03
-1.1460E-02,-3.0813362144E-03
-1.1456E-02,-1.8089201281E-03
-1.1452E-02,-4.5481230159E-04
-1.1448E-02,-4.0088369185E-03
-1.1444E-02,-2.5421669150E-03
-1.1440E-02,-3.3605386694E-03
-1.1436E-02,-4.6308328305E-03
-1.1432E-02,-2.8151895605E-03
-1.1428E-02,-2.5701191086E-03
-1.1424E-02,-1.0643723008E-03
-1.1420E-02,-2.6060630927E-03
-1.1416E-02,-3.7788535939E-03
-1.1412E-02,-2.3954775033E-03
-1.1408E-02,-4.4767476746E-03
-1.1404E-02,-2.9483224921E-03
-1.1400E-02,-2.6652624246E-03
-1.1396E-02,9.4698400802E-04
-1.1392E-02,-1.3794138358E-03
-1.1388E-02,-8.3138013375E-04
-1.1384E-02,1.0594365125E-03
-1.1380E-02,-5.6283952167E-03
-1.1376E-02,-7.8802610030E-04
-1.1372E-02,-4.3640853618E-03
-1.1368E-02,-4.1237689762E-03
-1.1364E-02,-4.8526717767E-03
-1.1360E-02,-2.4084903890E-03
-1.1356E-02,-2.5069954070E-03
-1.1352E-02,-2.9193832456E-03
-1.1348E-02,-8.0853963438E-04
-1.1344E-02,-4.3873550146E-03
-1.1340E-02,-2.5705625671E-03
-1.1336E-02,-1.8031933139E-03
-1.1332E-02,-1.9219353004E-03
-1.1328E-02,-2.3227264597E-03
-1.1324E-02,-1.0911753168E-03
-1.1320E-02,-3.3819152788E-03
-1.1316E-02,6.3412161877E-04
-1.1312E-02,-2.6070167670E-03
-1.1308E-02,-3.9124037308E-04
-1.1304E-02,-2.4674703758E-03
-1.1300E-02,-5.5624343340E-03
-1.1296E-02,-2.5216247707E-03
-1.1292E-02,-1.9692470822E-03
-1.1288E-02,-6.0300375030E-04
-1.1284E-02,-4.0079356963E-03
-1.1280E-02,-6.8392301424E-04
-1.1276E-02,-1.5905239461E-03
-1.1272E-02,7.6142760042E-04
-1.1268E-02,-4.3218232854E-03
-1.1264E-02,-2.9272605953E-03
-1.1260E-02,-2.8328134615E-03
-1.1256E-02,-1.7608406385E-03
-1.1252E-02,-4.6393062266E-03
-1.1248E-02,2.3197600088E-03
-1.1244E-02,-2.2532179087E-03
-1.1240E-02,-1.0097696790E-03
-1.1236E-02,-4.1081525596E-03
-1.1232E-02,-1.6227247587E-03
-1.1228E-02,-1.9176819131E-03
-1.1224E-02,-3.7211658358E-03
-1.1220E-02,2.3791071602E-03
-1.1216E-02,-4.0627671999E-03
-1.1212E-02,-1.9200660988E-03
-1.1208E-02,-3.7183095812E-03
-1.1204E-02,1.3655373510E-03
-1.1200E-02,1.5602085279E-04
-1.1196E-02,4.1537022032E-05
-1.1192E-02,-3.5669328604E-03
-1.1188E-02,3.9438220610E-04
-1.1184E-02,2.9245349744E-04
-1.1180E-02,-3.3133556337E-03
-1.1176E-02,-5.9842397064E-03
-1.1172E-02,-3.3022882435E-03
-1.1168E-02,-4.5822168720E-04
-1.1164E-02,-1.9098760890E-03
-1.1160E-02,-5.2491213065E-04
-1.1156E-02,-1.5954520309E-04
-1.1152E-02,1.3668486532E-03
-1.1148E-02,-3.4246112770E-03
-1.1144E-02,-2.3030283171E-03
-1.1140E-02,-1.2533428624E-03
-1.1136E-02,-2.9742910432E-03
-1.1132E-02,-3.0735113168E-03
-1.1128E-02,1.2535998306E-03
-1.1124E-02,1.8717428985E-03
-1.1120E-02,-1.5544559843E-03
-1.1116E-02,-7.2206998605E-04
-1.1112E-02,-2.1067812207E-03
-1.1108E-02,1.2782761530E-03
-1.1104E-02,-3.0693819072E-03
-1.1100E-02,1.7509314388E-03
-1.1096E-02,-1.3619234492E-03
-1.1092E-02,-7.6153511372E-06
-1.1088E-02,-3.7525894038E-03
-1.1084E-02,-1.8309690778E-03
-1.1080E-02,-1.2526419117E-03
-1.1076E-02,-2.2556545465E-03
-1.1072E-02,8.1145735394E-04
-1.1068E-02,-2.1337320562E-03
-1.1064E-02,2.3571106626E-03
-1.1060E-02,-1.2145950757E-03
-1.1056E-02,-2.1603967895E-03
-1.1052E-02,-9.8266625555E-04
-1.1048E-02,-2.1392681355E-03
-1.1044E-02,8.7264032835E-04
-1.1040E-02,-7.3070550679E-04
-1.1036E-02,-3.2068159098E-03
-1.1032E-02,-1.5519716627E-03
-1.1028E-02,-4.1992689588E-04
-1.1024E-02,-1.5045359033E-03
-1.1020E-02,-4.9696470543E-04
-1.1016E-02,-6.2055135733E-04
-1.1012E-02,1.7624351621E-04
-1.1008E-02,1.7003986492E-04
-1.1004E-02,2.5527450505E-04
-1.1000E-02,-3.9163495854E-03
-1.0996E-02,-2.4244119814E-03
-1.0992E-02,-2.8088333214E-03
-1.0988E-02,-2.8825094290E-03
-1.0984E-02,-4.5510579757E-03
-1.0980E-02,-1.0479166508E-03
-1.0976E-02,-5.2062608267E-03
-1.0972E-02,-1.4044907014E-03
-1.0968E-02,-7.2033429883E-04
-1.0964E-02,-4.8685123067E-03
-1.0960E-02,-3.5613562228E-04
-1.0956E-02,6.2689517897E-05
-1.0952E-02,-6.3258219970E-03
-1.0948E-02,-3.0320598636E-03
-1.0944E-02,1.5898081666E-03
-1.0940E-02,-2.0704509984E-03
-1.0936E-02,-4.5861531898E-03
-1.0932E-02,-5.9788180680E-03
-1.0928E-02,-2.7294971568E-03
-1.0924E-02,-2.0486833826E-03
-1.0920E-02,-3.4748651439E-03
-1.0916E-02,-1.7007114742E-03
-1.0912E-02,-3.5511590875E-03
-1.0908E-02,-3.8257362222E-03
-1.0904E-02,-7.7778363837E-04
-1.0900E-02,-1.9483663835E-03
-1.0896E-02,-1.5093233483E-03
-1.0892E-02,-5.4667808022E-03
-1.0888E-02,-2.6129009374E-03
-1.0884E-02,-1.0739233488E-03
-1.0880E-02,6.0251685263E-04
