[s],CH2[V]
-1.1876E-02,2.5565863489E-01
-1.1872E-02,2.6183788642E-01
-1.1868E-02,2.7142473065E-01
-1.1864E-02,2.8857493683E-01
-1.1860E-02,2.9620141772E-01
-1.1856E-02,3.1065458054E-01
-1.1852E-02,3.2582832536E-01
-1.1848E-02,3.3668203529E-01
-1.1844E-02,3.5346458096E-01
-1.1840E-02,3.6513318650E-01
-1.1836E-02,3.8314358305E-01
-1.1832E-02,3.9919909036E-01
-1.1828E-02,4.1215843207E-01
-1.1824E-02,4.2297902089E-01
-1.1820E-02,4.4812094614E-01
-1.1816E-02,4.6333975684E-01
-1.1812E-02,4.6461210617E-01
-1.1808E-02,4.8080413194E-01
-1.1804E-02,5.0085727500E-01
-1.1800E-02,5.0217788024E-01
-1.1796E-02,5.1871785409E-01
-1.1792E-02,5.4028650004E-01
-1.1788E-02,5.5752837339E-01
-1.1784E-02,5.7386436107E-01
-1.1780E-02,5.7376657131E-01
-1.1776E-02,5.8629165266E-01
-1.1772E-02,6.2254832757E-01
-1.1768E-02,6.5290733282E-01
-1.1764E-02,6.7630749595E-01
-1.1760E-02,6.8775238381E-01
-1.1756E-02,7.1309854795E-01
-1.1752E-02,7.2526607773E-01
-1.1748E-02,7.3013634454E-01
-1.1744E-02,7.6183209121E-01
-1.1740E-02,7.7835414074E-01
-1.1736E-02,7.8938863871E-01
-1.1732E-02,7.9827082254E-01
-1.1728E-02,8.1536144315E-01
-1.1724E-02,8.2907305746E-01
-1.1720E-02,8.4070082667E-01
-1.1716E-02,8.4031357291E-01
-1.1712E-02,8.5642711129E-01
-1.1708E-02,8.6323642206E-01
-1.1704E-02,8.7726690213E-01
-1.1700E-02,8.7346027780E-01
-1.1696E-02,8.7342888761E-01
-1.1692E-02,8.8202354341E-01
-1.1688E-02,8.8636114497E-01
-1.1684E-02,8.8556565663E-01
-1.1680E-02,8.9712864752E-01
-1.1676E-02,8.9042128931E-01
-1.1672E-02,8.9889355531E-01
-1.1668E-02,8.9785250061E-01
-1.1664E-02,8.7700145166E-01
-1.1660E-02,8.8398784543E-01
-1.1656E-02,8.8212063699E-01
-1.1652E-02,8.7038518841E-01
-1.1648E-02,8.6691915456E-01
-1.1644E-02,8.5938446005E-01
-1.1640E-02,8.5341490242E-01
-1.1636E-02,8.4806442723E-01
-1.1632E-02,8.3159507774E-01
-1.1628E-02,8.2385638277E-01
