[s],CH2[V]
-1.1876E-02,-6.9368370353E-03
-1.1872E-02,-5.9358012975E-03
-1.1868E-02,-5.5217597587E-03
-1.1864E-02,-5.9360282720E-03
-1.1860E-02,-5.0690429098E-03
-1.1856E-02,-6.9069793984E-03
-1.1852E-02,-6.0016563269E-03
-1.1848E-02,-5.7567184185E-03
-1.1844E-02,-6.4548004219E-03
-1.1840E-02,-5.9014251515E-03
-1.1836E-02,-7.4456089559E-03
-1.1832E-02,-6.2061450909E-03
-1.1828E-02,-7.4290646130E-03
-1.1824E-02,-6.1157653716E-03
-1.1820E-02,-7.5696476581E-03
-1.1816E-02,-6.2307746849E-03
-1.1812E-02,-5.9087779808E-03
-1.1808E-02,-7.7823494656E-03
-1.1804E-02,-6.1968372291E-03
-1.1800E-02,-6.3379352582E-03
-1.1796E-02,-5.6545951532E-03
-1.1792E-02,-6.6638038803E-03
-1.1788E-02,-7.3763359576E-03
-1.1784E-02,-7.4126232671E-03
-1.1780E-02,-6.2871120442E-03
-1.1776E-02,-5.6160991339E-03
-1.1772E-02,-6.0039546821E-03
-1.1768E-02,-6.5531833764E-03
-1.1764E-02,-7.5215214351E-03
-1.1760E-02,-7.0414188732E-03
-1.1756E-02,-6.4655139997E-03
-1.1752E-02,-6.8459194437E-03
-1.1748E-02,-6.7965229265E-03
-1.1744E-02,-8.5548333280E-03
-1.1740E-02,-7.9554413623E-03
-1.1736E-02,-7.5578926679E-03
-1.1732E-02,-7.0633495688E-03
-1.1728E-02,-6.5449474446E-03
-1.1724E-02,-7.3639000439E-03
-1.1720E-02,-6.2772415145E-03
-1.1716E-02,-6.6419437566E-03
-1.1712E-02,-6.8284023531E-03
-1.1708E-02,-6.6550625011E-03
-1.1704E-02,-6.5858944070E-03
-1.1700E-02,-6.8506553906E-03
-1.1696E-02,-6.1525543138E-03
-1.1692E-02,-7.1914261282E-03
-1.1688E-02,-6.0546291230E-03
-1.1684E-02,-6.0826690565E-03
-1.1680E-02,-5.7624080397E-03
-1.1676E-02,-6.3267982490E-03
-1.1672E-02,-6.6738365346E-03
-1.1668E-02,-7.0047291132E-03
-1.1664E-02,-6.2574699376E-03
-1.1660E-02,-5.5494334813E-03
-1.1656E-02,-6.3110206604E-03
-1.1652E-02,-6.3972957652E-03
-1.1648E-02,-6.0146167614E-03
-1.1644E-02,-6.4658611371E-03
-1.1640E-02,-6.0350902426E-03
-1.1636E-02,-6.1192901520E-03
-1.1632E-02,-7.2936180582E-03
-1.1628E-02,-5.2467486830E-03
-1.1624E-02,-5.7261169156E-03
-1.1620E-02,-6.6268852384E-03
-1.1616E-02,-7.4496410911E-03
-1.1612E-02,-7.8119648693E-03
-1.1608E-02,-7.3134926319E-03
-1.1604E-02,-6.1527030870E-03
-1.1600E-02,-7.5174168206E-03
-1.1596E-02,-5.1663081579E-03
-1.1592E-02,-5.4404304091E-03
-1.1588E-02,-6.4857814872E-03
-1.1584E-02,-6.6257808835E-03
-1.1580E-02,-5.9667289570E-03
-1.1576E-02,-6.0565975068E-03
-1.1572E-02,-5.6636493375E-03
-1.1568E-02,-6.5474594229E-03
-1.1564E-02,-6.6513088388E-03
-1.1560E-02,-7.5653809190E-03
-1.1556E-02,-6.0785091290E-03
-1.1552E-02,-6.6381099856E-03
-1.1548E-02,-7.3104580400E-03
-1.1544E-02,-5.4223487432E-03
-1.1540E-02,-6.8676555898E-03
-1.1536E-02,-5.8591792846E-03
-1.1532E-02,-6.2059600780E-03
-1.1528E-02,-8.1483448901E-03
-1.1524E-02,-6.7684543827E-03
-1.1520E-02,-6.9081810281E-03
-1.1516E-02,-5.9001434131E-03
-1.1512E-02,-6.1233814150E-03
-1.1508E-02,-6.0337379324E-03
-1.1504E-02,-5.8871028699E-03
-1.1500E-02,-3.7656046612E-03
-1.1496E-02,-5.8838527477E-03
-1.1492E-02,-5.7314803802E-03
-1.1488E-02,-6.2026889750E-03
-1.1484E-02,-6.3580883049E-03
-1.1480E-02,-6.4519985266E-03
-1.1476E-02,-6.3772495301E-03
-1.1472E-02,-6.9974163382E-03
-1.1468E-02,-6.7388866628E-03
-1.1464E-02,-4.6569831063E-03
-1.1460E-02,-5.2381389108E-03
-1.1456E-02,-5.5926005976E-03
-1.1452E-02,-5.0514590619E-03
-1.1448E-02,-6.2025402018E-03
-1.1444E-02,-6.7902572860E-03
-1.1440E-02,-5.6151511816E-03
-1.1436E-02,-4.3408152598E-03
-1.1432E-02,-4.9915912002E-03
-1.1428E-02,-4.4075705578E-03
-1.1424E-02,-5.0189425808E-03
-1.1420E-02,-3.3835989515E-03
-1.1416E-02,-6.1529186174E-03
-1.1412E-02,-4.7815806616E-03
-1.1408E-02,-4.1211649808E-03
-1.1404E-02,-5.7690322619E-03
-1.1400E-02,-2.6358877344E-03
-1.1396E-02,-2.7427355025E-03
-1.1392E-02,-3.5396715755E-03
-1.1388E-02,-2.8164850483E-03
-1.1384E-02,-3.3486658597E-03
-1.1380E-02,-4.4444891997E-03
-1.1376E-02,-1.0608601938E-03
-1.1372E-02,1.2158618687E-03
-1.1368E-02,-4.0406847555E-04
-1.1364E-02,-1.3824700601E-04
-1.1360E-02,-1.4335679324E-04
-1.1356E-02,6.6437643482E-03
-1.1352E-02,-3.2936525544E-04
-1.1348E-02,-3.7231432639E-03
-1.1344E-02,-2.2490030267E-03
-1.1340E-02,-2.1779924337E-03
-1.1336E-02,3.3536866285E-04
-1.1332E-02,-2.2354646654E-03
-1.1328E-02,-1.8388372205E-03
-1.1324E-02,-2.5734376765E-04
-1.1320E-02,-2.7151155397E-04
-1.1316E-02,1.5987697544E-03
-1.1312E-02,-3.0914771298E-05
-1.1308E-02,-5.9684802572E-04
-1.1304E-02,2.4604317063E-03
-1.1300E-02,3.5452035138E-04
-1.1296E-02,-6.2228442829E-04
-1.1292E-02,3.4555775513E-03
-1.1288E-02,-2.1434293675E-03
-1.1284E-02,1.6709663642E-04
-1.1280E-02,-1.9195180715E-03
-1.1276E-02,1.5533309857E-03
-1.1272E-02,1.4150653694E-03
-1.1268E-02,1.1019817059E-03
-1.1264E-02,1.1250186637E-03
-1.1260E-02,-8.4616711410E-04
-1.1256E-02,-8.3250858989E-04
-1.1252E-02,6.9820742520E-04
-1.1248E-02,-2.1092306049E-03
-1.1244E-02,6.6390566576E-04
