[s],CH2[V]
-1.1876E-02,-1.3284144927E-02
-1.1872E-02,-1.1305065725E-02
-1.1868E-02,-1.3720679799E-02
-1.1864E-02,-1.3078122669E-02
-1.1860E-02,-1.1718741024E-02
-1.1856E-02,-1.1900597175E-02
-1.1852E-02,-1.0996437649E-02
-1.1848E-02,-1.3931150947E-02
-1.1844E-02,-1.1272516821E-02
-1.1840E-02,-1.4674854773E-02
-1.1836E-02,-1.1850557885E-02
-1.1832E-02,-1.1323233220E-02
-1.1828E-02,-1.3902111565E-02
-1.1824E-02,-1.1745787227E-02
-1.1820E-02,-1.1790886484E-02
-1.1816E-02,-9.8167043994E-03
-1.1812E-02,-1.0845637902E-02
-1.1808E-02,-1.0413537615E-02
-1.1804E-02,-1.0291262265E-02
-1.1800E-02,-1.1755076014E-02
-1.1796E-02,-1.3155322603E-02
-1.1792E-02,-1.4031954320E-02
-1.1788E-02,-1.0281415578E-02
-1.1784E-02,-1.1692505444E-02
-1.1780E-02,-9.4168859880E-03
-1.1776E-02,-1.2418766567E-02
-1.1772E-02,-1.2451539584E-02
-1.1768E-02,-1.4108939678E-02
-1.1764E-02,-1.0210142730E-02
-1.1760E-02,-9.1405159456E-03
-1.1756E-02,-1.0884304626E-02
-1.1752E-02,-1.0727038966E-02
-1.1748E-02,-1.1985760290E-02
-1.1744E-02,-1.3458753154E-02
-1.1740E-02,-1.0926733595E-02
-1.1736E-02,-1.1795859896E-02
-1.1732E-02,-1.1665134992E-02
-1.1728E-02,-1.1363463970E-02
-1.1724E-02,-8.7200552540E-03
-1.1720E-02,-1.0069323183E-02
-1.1716E-02,-1.0703101741E-02
-1.1712E-02,-1.1453748316E-02
-1.1708E-02,-9.8323494263E-03
-1.1704E-02,-1.0416231745E-02
-1.1700E-02,-1.3510819002E-02
-1.1696E-02,-1.0159140229E-02
-1.1692E-02,-9.1645962216E-03
-1.1688E-02,-9.0401607995E-03
-1.1684E-02,-1.2313304495E-02
-1.1680E-02,-1.2395806858E-02
-1.1676E-02,-1.1831131539E-02
-1.1672E-02,-1.2922077713E-02
-1.1668E-02,-1.2331638883E-02
-1.1664E-02,-1.2244458747E-02
-1.1660E-02,-1.1005888562E-02
-1.1656E-02,-1.1374116512E-02
-1.1652E-02,-1.1249671553E-02
-1.1648E-02,-1.2462201662E-02
-1.1644E-02,-1.3430290744E-02
-1.1640E-02,-1.0198698638E-02
-1.1636E-02,-1.1477847665E-02
-1.1632E-02,-1.2374482701E-02
-1.1628E-02,-1.1697507466E-02
-1.1624E-02,-1.3169980577E-02
-1.1620E-02,-1.1566849319E-02
-1.1616E-02,-1.2396898815E-02
-1.1612E-02,-1.4753933446E-02
-1.1608E-02,-1.2544484681E-02
-1.1604E-02,-1.1818471513E-02
-1.1600E-02,-1.2222023560E-02
-1.1596E-02,-9.0417725091E-03
-1.1592E-02,-1.1309290502E-02
-1.1588E-02,-9.8718267737E-03
-1.1584E-02,-1.3844213999E-02
-1.1580E-02,-9.9846607479E-03
-1.1576E-02,-8.3920723588E-03
-1.1572E-02,-1.1066942790E-02
-1.1568E-02,-1.0337415333E-02
-1.1564E-02,-8.7605959483E-03
-1.1560E-02,-9.0747791765E-03
-1.1556E-02,-1.0664091694E-02
-1.1552E-02,-1.2152700975E-02
-1.1548E-02,-7.4556881787E-03
-1.1544E-02,-1.0299535390E-02
-1.1540E-02,-1.2325797628E-02
-1.1536E-02,-9.7128731106E-03
-1.1532E-02,-1.0134468675E-02
-1.1528E-02,-9.7776705105E-03
-1.1524E-02,-9.0074020875E-03
-1.1520E-02,-1.1901093086E-02
-1.1516E-02,-1.0105720163E-02
-1.1512E-02,-7.9916483642E-03
-1.1508E-02,-9.3733221462E-03
-1.1504E-02,-1.0097947717E-02
-1.1500E-02,-8.9400345353E-03
-1.1496E-02,-6.6855151231E-03
-1.1492E-02,-6.0131365981E-03
-1.1488E-02,-9.8374992674E-03
-1.1484E-02,-7.5904471250E-03
-1.1480E-02,-9.3257337988E-03
-1.1476E-02,-6.7908389123E-03
-1.1472E-02,-6.0047728745E-03
-1.1468E-02,-6.2523896369E-03
-1.1464E-02,-7.0572287531E-03
-1.1460E-02,-2.0752008570E-03
-1.1456E-02,-4.4757924265E-04
-1.1452E-02,-7.2793108862E-03
-1.1448E-02,-4.2140634190E-03
