[s],CH2[V]
-1.1876E-02,-8.5751629578E-03
-1.1872E-02,-6.9853020772E-03
-1.1868E-02,-5.2557755961E-03
-1.1864E-02,-5.3507615559E-03
-1.1860E-02,-6.3266373885E-03
-1.1856E-02,-7.8833199404E-03
-1.1852E-02,-4.9749137478E-03
-1.1848E-02,-5.8125735649E-03
-1.1844E-02,-6.1031819645E-03
-1.1840E-02,-5.0163699694E-03
-1.1836E-02,-7.2151471191E-03
-1.1832E-02,-5.4490901441E-03
-1.1828E-02,-5.0737191731E-03
-1.1824E-02,-7.2579861684E-03
-1.1820E-02,-5.9456588128E-03
-1.1816E-02,-4.2209626920E-03
-1.1812E-02,-4.8974277113E-03
-1.1808E-02,-5.6541158124E-03
-1.1804E-02,-6.8942547922E-03
-1.1800E-02,-3.5091068195E-03
-1.1796E-02,-4.9317981329E-03
-1.1792E-02,-7.7475739413E-03
-1.1788E-02,-6.6324235145E-03
-1.1784E-02,-8.7420130441E-03
-1.1780E-02,-6.2105513850E-03
-1.1776E-02,-3.6769105801E-03
-1.1772E-02,-4.9498368822E-03
-1.1768E-02,-7.2931576764E-03
-1.1764E-02,9.3505145724E-06
-1.1760E-02,-2.9050161424E-03
-1.1756E-02,-7.3231125860E-03
-1.1752E-02,-6.7977858689E-03
-1.1748E-02,-3.2752372721E-03
-1.1744E-02,-5.1193667933E-03
-1.1740E-02,-5.5232335521E-03
-1.1736E-02,-4.8049356098E-03
-1.1732E-02,-6.1089040102E-03
-1.1728E-02,-5.8731366510E-03
-1.1724E-02,-4.3556215024E-03
-1.1720E-02,-6.0694123577E-03
-1.1716E-02,-4.3202115758E-03
-1.1712E-02,-9.2113781535E-03
-1.1708E-02,-8.9520311974E-03
-1.1704E-02,-5.5140115217E-03
-1.1700E-02,-7.3676825542E-03
-1.1696E-02,-5.4629851785E-03
-1.1692E-02,-4.3349839907E-03
-1.1688E-02,-3.6537029161E-03
-1.1684E-02,-4.8838616945E-03
-1.1680E-02,-5.5833436430E-03
-1.1676E-02,-5.4918719729E-03
-1.1672E-02,-6.4419270741E-03
-1.1668E-02,-7.9353619467E-03
-1.1664E-02,-6.6851569347E-03
-1.1660E-02,-6.0053492869E-03
-1.1656E-02,-6.1258889494E-03
-1.1652E-02,-3.5122157977E-03
-1.1648E-02,-4.4795848557E-03
-1.1644E-02,-6.8313742776E-03
-1.1640E-02,-1.8987657834E-03
-1.1636E-02,-4.2351199869E-03
-1.1632E-02,-6.1349297817E-03
-1.1628E-02,-7.7300311026E-03
-1.1624E-02,-4.3935872761E-03
-1.1620E-02,-3.3059455844E-03
-1.1616E-02,-3.1396677027E-03
-1.1612E-02,-2.1698047865E-03
-1.1608E-02,-3.2196094505E-03
-1.1604E-02,-4.7425414691E-03
-1.1600E-02,-3.0760433221E-03
-1.1596E-02,-5.1300527138E-03
-1.1592E-02,-6.5454531872E-03
-1.1588E-02,-3.8428117605E-03
-1.1584E-02,-5.1908589868E-03
-1.1580E-02,-3.2969238256E-03
-1.1576E-02,-3.9138318852E-03
-1.1572E-02,-4.7658778791E-03
-1.1568E-02,-3.5213186189E-03
-1.1564E-02,-4.6993066449E-03
-1.1560E-02,-3.8502122730E-03
-1.1556E-02,-1.4963343044E-03
-1.1552E-02,-1.7458917939E-03
-1.1548E-02,-8.0158234470E-03
-1.1544E-02,-6.7542983211E-03
-1.1540E-02,-4.6008540790E-03
-1.1536E-02,-2.0410349148E-03
-1.1532E-02,-6.6147471615E-03
-1.1528E-02,-4.3869687765E-03
-1.1524E-02,-2.9057838502E-03
-1.1520E-02,-5.4680491890E-03
-1.1516E-02,1.0307547581E-03
-1.1512E-02,-2.2698023047E-03
-1.1508E-02,3.0878993812E-04
-1.1504E-02,-2.0763113269E-03
-1.1500E-02,-4.3202974065E-03
-1.1496E-02,-1.6981627525E-04
-1.1492E-02,-4.3626071666E-03
-1.1488E-02,-1.4931919476E-03
-1.1484E-02,-4.6822883271E-03
-1.1480E-02,-8.0179238874E-04
-1.1476E-02,-2.4713089148E-03
-1.1472E-02,-5.7092095764E-03
-1.1468E-02,-2.6391054957E-04
-1.1464E-02,-1.8420603098E-03
-1.1460E-02,6.4164134059E-04
-1.1456E-02,-4.7135783807E-03
-1.1452E-02,-2.1920492394E-03
-1.1448E-02,-2.5266554026E-03
-1.1444E-02,-1.5473368057E-03
-1.1440E-02,-6.4454509006E-03
-1.1436E-02,-2.0830585726E-03
-1.1432E-02,-6.6439105214E-03
-1.1428E-02,-3.1658889774E-03
-1.1424E-02,-4.1789533393E-03
-1.1420E-02,-5.3841449246E-03
-1.1416E-02,-4.8833467104E-03
-1.1412E-02,-1.5138866798E-03
-1.1408E-02,-3.7163783908E-03
-1.1404E-02,-5.2355720061E-03
-1.1400E-02,-3.6520816698E-03
-1.1396E-02,-2.4080421621E-03
-1.1392E-02,-1.4717056657E-03
-1.1388E-02,-5.4330207322E-03
-1.1384E-02,-3.1956054685E-03
-1.1380E-02,-3.3399726833E-03
-1.1376E-02,-4.3454696396E-03
-1.1372E-02,-3.0864622138E-03
-1.1368E-02,-1.3549044064E-03
-1.1364E-02,-4.8131372088E-03
-1.1360E-02,-4.7023774761E-03
-1.1356E-02,-3.5785581500E-03
-1.1352E-02,-3.7325384017E-03
-1.1348E-02,-2.3883678614E-03
-1.1344E-02,-4.7155143395E-03
-1.1340E-02,-2.9078676285E-03
-1.1336E-02,-3.6705591093E-03
-1.1332E-02,-7.5744534465E-03
-1.1328E-02,-7.0022011857E-03
-1.1324E-02,-5.6091166908E-03
-1.1320E-02,-5.8432484986E-03
-1.1316E-02,-7.3434783006E-03
-1.1312E-02,-6.2888098976E-03
-1.1308E-02,-4.2568303822E-03
-1.1304E-02,-5.0972892333E-03
-1.1300E-02,-6.7138386891E-03
-1.1296E-02,-8.2741928870E-03
-1.1292E-02,-7.0020295243E-03
-1.1288E-02,-5.6422568725E-03
-1.1284E-02,-5.9460021355E-03
-1.1280E-02,-9.6077347273E-03
-1.1276E-02,-7.0767785156E-03
-1.1272E-02,-4.4515659049E-03
-1.1268E-02,-6.5219498842E-03
-1.1264E-02,-6.2524892121E-03
-1.1260E-02,-2.5812770978E-03
-1.1256E-02,-6.5737439351E-03
-1.1252E-02,-5.1121999309E-03
-1.1248E-02,-8.8210392646E-03
-1.1244E-02,-5.5706597748E-03
-1.1240E-02,-6.4223290673E-03
-1.1236E-02,-5.5491734930E-03
-1.1232E-02,-7.4790335649E-03
-1.1228E-02,-7.5331164341E-03
-1.1224E-02,-7.2187424711E-03
-1.1220E-02,-7.9766655804E-03
-1.1216E-02,-7.9427863011E-03
-1.1212E-02,-7.3553563139E-03
-1.1208E-02,-4.1952945483E-03
-1.1204E-02,-8.5978413325E-03
-1.1200E-02,-7.4769974703E-03
-1.1196E-02,-5.8621932385E-03
-1.1192E-02,-7.0883465848E-03
-1.1188E-02,-7.2804690399E-03
-1.1184E-02,-4.8821117021E-03
-1.1180E-02,-7.1090317802E-03
-1.1176E-02,-8.0051232214E-03
-1.1172E-02,-6.3265801681E-03
-1.1168E-02,-7.3880148902E-03
-1.1164E-02,-9.3767738865E-03
-1.1160E-02,-6.0153771721E-03
-1.1156E-02,-3.5876609712E-03
-1.1152E-02,-6.8360425133E-03
-1.1148E-02,-8.2553435146E-03
-1.1144E-02,-5.8326102618E-03
-1.1140E-02,-5.9271050794E-03
-1.1136E-02,-6.9959403140E-03
-1.1132E-02,-7.4617386815E-03
-1.1128E-02,-3.9868261158E-03
-1.1124E-02,-6.3724757435E-03
-1.1120E-02,-6.3530064828E-03
-1.1116E-02,-9.0586329101E-03
-1.1112E-02,-6.1745787906E-03
-1.1108E-02,-7.5445700624E-03
-1.1104E-02,-6.4267588844E-03
-1.1100E-02,-5.0870944551E-03
-1.1096E-02,-3.5667230520E-03
-1.1092E-02,-9.1948986617E-03
-1.1088E-02,-8.0793524601E-03
-1.1084E-02,-5.1209785028E-03
-1.1080E-02,-3.4908725670E-03
-1.1076E-02,-4.1075326713E-03
-1.1072E-02,-8.6726952280E-03
-1.1068E-02,-9.1474342920E-03
-1.1064E-02,-5.4771758521E-03
-1.1060E-02,-4.3974162784E-03
-1.1056E-02,-7.9484320529E-03
-1.1052E-02,-5.0442315639E-03
-1.1048E-02,-8.8984060917E-03
-1.1044E-02,-7.2686577837E-03
-1.1040E-02,-6.3867570161E-03
-1.1036E-02,-6.5306807724E-03
-1.1032E-02,-7.5870657890E-03
-1.1028E-02,-6.9807673559E-03
-1.1024E-02,-1.0703330063E-02
-1.1020E-02,-8.7963724789E-03
-1.1016E-02,-7.9705191496E-03
-1.1012E-02,-3.4708549435E-03
-1.1008E-02,-7.1969557819E-03
-1.1004E-02,-8.5130596877E-03
-1.1000E-02,-6.4838982798E-03
-1.0996E-02,-7.6292992552E-03
-1.0992E-02,-8.5680342424E-03
-1.0988E-02,-6.4279557457E-03
-1.0984E-02,-8.4157706045E-03
-1.0980E-02,-5.7080603989E-03
-1.0976E-02,-8.8694525401E-03
-1.0972E-02,-9.5365715514E-03
-1.0968E-02,-6.0365105945E-03
-1.0964E-02,-7.8162432589E-03
-1.0960E-02,-7.0272685145E-03
-1.0956E-02,-7.0465947241E-03
-1.0952E-02,-9.0687800046E-03
-1.0948E-02,-3.9964916048E-03
-1.0944E-02,-6.0055734004E-03
-1.0940E-02,-5.8262921696E-03
-1.0936E-02,-8.3534718312E-03
-1.0932E-02,-7.2040368135E-03
-1.0928E-02,-8.1981802773E-03
-1.0924E-02,-5.0075770924E-03
-1.0920E-02,-5.9703112933E-03
-1.0916E-02,-5.9250022275E-03
-1.0912E-02,-7.3557044050E-03
-1.0908E-02,-6.8023301269E-03
-1.0904E-02,-1.1363730438E-02
-1.0900E-02,-7.4942446699E-03
-1.0896E-02,-6.7534209407E-03
-1.0892E-02,-6.4229060403E-03
-1.0888E-02,-4.4956685727E-03
-1.0884E-02,-8.4179640554E-03
-1.0880E-02,-5.8312322025E-03
-1.0876E-02,-6.4521695360E-03
-1.0872E-02,-5.9326173168E-03
-1.0868E-02,-6.9258261798E-03
-1.0864E-02,-9.6605253679E-03
-1.0860E-02,-4.7166778222E-03
-1.0856E-02,-7.1540452070E-03
-1.0852E-02,-6.5200854509E-03
-1.0848E-02,-6.0873175926E-03
-1.0844E-02,-6.7948866991E-03
-1.0840E-02,-7.7680254865E-03
-1.0836E-02,-5.4391385528E-03
-1.0832E-02,-6.5703297812E-03
-1.0828E-02,-4.8704768757E-03
-1.0824E-02,-1.0538945224E-02
-1.0820E-02,-3.7512542598E-03
-1.0816E-02,-6.3710213902E-03
-1.0812E-02,-7.1271086765E-03
-1.0808E-02,-9.0316105489E-03
-1.0804E-02,-4.2903091183E-03
-1.0800E-02,-6.4300872077E-03
-1.0796E-02,-7.7554560593E-03
-1.0792E-02,-6.5585566720E-03
-1.0788E-02,-5.2739383230E-03
-1.0784E-02,-4.4255878171E-03
-1.0780E-02,-4.9803735331E-03
-1.0776E-02,-4.3236448033E-03
-1.0772E-02,-6.3826848269E-03
-1.0768E-02,-3.3511974297E-03
-1.0764E-02,-5.9857608169E-03
-1.0760E-02,-6.1093427004E-03
