mass,tof (us),Combined
0,0.046,8.22E-07
0,0.0462,8.22E-07
0,0.0464,6.16E-07
0,0.0466,4.11E-07
0,0.0468,4.11E-07
0,0.047,1.03E-06
0,0.0472,5.14E-07
0,0.0474,6.16E-07
0,0.0476,6.16E-07
0,0.0478,1.03E-07
0,0.048,5.14E-07
0,0.0482,7.19E-07
0,0.0484,7.19E-07
0,0.0486,5.14E-07
0,0.0488,0.00E+00
0,0.049,6.16E-07
0,0.0492,6.16E-07
0,0.0494,9.25E-07
0,0.0496,1.54E-06
0,0.0498,-3.28E-05
0,0.05,7.19E-07
0,0.0502,7.19E-07
0,0.0504,7.19E-07
0,0.0506,9.25E-07
0,0.0508,9.25E-07
0,0.051,6.16E-07
0,0.0512,6.16E-07
0,0.0514,7.19E-07
0,0.0516,8.22E-07
0,0.0518,4.11E-07
0,0.052,1.44E-06
0,0.0522,6.16E-07
0,0.0524,7.19E-07
0,0.0526,3.08E-07
0,0.0528,5.14E-07
0,0.053,4.11E-07
0,0.0532,9.25E-07
0,0.0534,5.14E-07
0,0.0536,7.19E-07
0,0.0538,2.05E-07
0,0.054,5.14E-07
0,0.0542,5.14E-07
0,0.0544,7.19E-07
0,0.0546,4.11E-07
0,0.0548,5.14E-07
0,0.055,8.22E-07
0,0.0552,2.05E-07
0,0.0554,5.14E-07
0,0.0556,7.19E-07
0,0.0558,-3.26E-05
0,0.056,8.22E-07
0,0.0562,5.14E-07
0,0.0564,6.16E-07
0,0.0566,1.23E-06
0,0.0568,4.11E-07
0,0.057,9.25E-07
0,0.0572,4.11E-07
0,0.0574,3.08E-07
0,0.0576,8.22E-07
0,0.0578,3.08E-07
0,0.058,5.14E-07
0,0.0582,4.11E-07
0,0.0584,3.08E-07
0,0.0586,6.16E-07
0,0.0588,8.22E-07
0,0.059,5.14E-07
0,0.0592,4.11E-07
0,0.0594,5.14E-07
0,0.0596,8.22E-07
0,0.0598,7.19E-07
0,0.06,5.14E-07
0,0.0602,9.25E-07
0,0.0604,2.05E-07
0,0.0606,6.16E-07
0,0.0608,1.13E-06
0,0.061,1.03E-06
0,0.0612,5.14E-07
0,0.0614,1.13E-06
0,0.0616,1.03E-06
0,0.0618,5.14E-07
0,0.062,5.14E-07
0,0.0622,1.03E-06
0,0.0624,5.14E-07
0,0.0626,9.25E-07
0,0.0628,4.11E-07
0,0.063,8.22E-07
0,0.0632,7.19E-07
0,0.0634,8.22E-07
0,0.0636,2.05E-07
0,0.0638,2.05E-07
0,0.064,4.11E-07
0,0.0642,9.25E-07
0,0.0644,8.22E-07
0,0.0646,6.16E-07
0,0.0648,7.19E-07
0,0.065,4.11E-07
0,0.0652,1.34E-06
0,0.0654,3.08E-07
0,0.0656,6.16E-07
0,0.0658,1.23E-06
0,0.066,7.19E-07
0,0.0662,9.25E-07
0,0.0664,6.16E-07
0,0.0666,8.22E-07
0,0.0668,9.25E-07
0,0.067,3.08E-07
0,0.0672,7.19E-07
0,0.0674,5.14E-07
0,0.0676,4.11E-07
0,0.0678,6.16E-07
0,0.068,6.16E-07
0,0.0682,9.25E-07
0,0.0684,6.16E-07
0,0.0686,5.14E-07
0,0.0688,1.34E-06
0,0.069,8.22E-07
0,0.0692,1.13E-06
0,0.0694,5.14E-07
0,0.0696,6.16E-07
0,0.0698,7.19E-07
0,0.07,6.16E-07
0,0.0702,1.03E-06
0,0.0704,6.16E-07
0,0.0706,6.16E-07
0,0.0708,9.25E-07
0,0.071,5.14E-07
0,0.0712,8.22E-07
0,0.0714,4.11E-07
0,0.0716,9.25E-07
0,0.0718,8.22E-07
0,0.072,6.16E-07
0,0.0722,8.22E-07
0,0.0724,9.25E-07
0,0.0726,7.19E-07
0,0.0728,5.14E-07
0,0.073,4.11E-07
0,0.0732,7.19E-07
0,0.0734,5.14E-07
0,0.0736,1.13E-06
0,0.0738,6.16E-07
0,0.074,5.14E-07
0,0.0742,6.16E-07
0,0.0744,4.11E-07
0,0.0746,8.22E-07
0,0.0748,1.13E-06
0,0.075,-3.29E-05
0,0.0752,1.03E-06
0,0.0754,4.11E-07
0,0.0756,3.08E-07
0,0.0758,-3.24E-05
0,0.076,7.19E-07
0,0.0762,4.11E-07
0,0.0764,9.25E-07
0,0.0766,3.08E-07
0,0.0768,1.03E-06
0,0.077,7.19E-07
0,0.0772,7.19E-07
0,0.0774,9.25E-07
0,0.0776,6.16E-07
0,0.0778,2.05E-07
0,0.078,2.05E-07
0,0.0782,3.08E-07
0,0.0784,3.08E-07
0,0.0786,4.11E-07
0,0.0788,8.22E-07
0,0.079,7.19E-07
0,0.0792,7.19E-07
0,0.0794,8.22E-07
0,0.0796,7.19E-07
0,0.0798,7.19E-07
0,0.08,8.22E-07
0,0.0802,6.16E-07
0,0.0804,6.16E-07
0,0.0806,3.08E-07
0,0.0808,8.22E-07
