mass,tof (us),Combined
0,0.0508,7.01E-07
0,0.051,1.05E-06
0,0.0512,7.01E-07
0,0.0514,1.75E-06
0,0.0516,3.50E-07
0,0.0518,3.50E-07
0,0.052,0
0,0.0522,0
0,0.0524,1.05E-06
0,0.0526,7.01E-07
0,0.0528,3.50E-07
0,0.053,3.50E-07
0,0.0532,0
0,0.0534,-3.33E-05
0,0.0536,0
0,0.0538,7.01E-07
0,0.054,1.05E-06
0,0.0542,0
0,0.0544,0
0,0.0546,7.01E-07
0,0.0548,7.01E-07
0,0.055,3.50E-07
0,0.0552,0
0,0.0554,0
0,0.0556,3.50E-07
0,0.0558,7.01E-07
0,0.056,7.01E-07
0,0.0562,7.01E-07
0,0.0564,7.01E-07
0,0.0566,7.01E-07
0,0.0568,0
0,0.057,0
0,0.0572,0
0,0.0574,3.50E-07
0,0.0576,0
0,0.0578,3.50E-07
0,0.058,1.05E-06
0,0.0582,3.50E-07
0,0.0584,0
0,0.0586,7.01E-07
0,0.0588,3.50E-07
0,0.059,3.50E-07
0,0.0592,7.01E-07
0,0.0594,0
0,0.0596,3.50E-07
0,0.0598,3.50E-07
0,0.06,7.01E-07
0,0.0602,7.01E-07
0,0.0604,3.50E-07
0,0.0606,1.40E-06
0,0.0608,0
0,0.061,3.50E-07
0,0.0612,3.50E-07
0,0.0614,3.50E-07
0,0.0616,3.50E-07
0,0.0618,7.01E-07
0,0.062,0
0,0.0622,0
0,0.0624,0
0,0.0626,0
0,0.0628,3.50E-07
0,0.063,3.50E-07
0,0.0632,0
0,0.0634,0
0,0.0636,-3.26E-05
0,0.0638,3.50E-07
0,0.064,3.50E-07
0,0.0642,7.01E-07
0,0.0644,3.50E-07
0,0.0646,3.50E-07
0,0.0648,0
0,0.065,-3.26E-05
0,0.0652,7.01E-07
0,0.0654,7.01E-07
0,0.0656,0
0,0.0658,0
0,0.066,0
0,0.0662,3.50E-07
0,0.0664,0
0,0.0666,0
0,0.0668,3.50E-07
0,0.067,3.50E-07
0,0.0672,3.50E-07
0,0.0674,7.01E-07
0,0.0676,3.50E-07
0,0.0678,0
0,0.068,0
0,0.0682,3.50E-07
0,0.0684,3.50E-07
0,0.0686,3.50E-07
0,0.0688,3.50E-07
0,0.069,7.01E-07
0,0.0692,0
0,0.0694,7.01E-07
0,0.0696,3.50E-07
0,0.0698,7.01E-07
0,0.07,3.50E-07
0,0.0702,7.01E-07
0,0.0704,3.50E-07
0,0.0706,1.05E-06
0,0.0708,0
0,0.071,0
0,0.0712,0
0,0.0714,0
0,0.0716,0
0,0.0718,0
0,0.072,3.50E-07
0,0.0722,3.50E-07
0,0.0724,3.50E-07
0,0.0726,3.50E-07
0,0.0728,1.40E-06
0,0.073,0
0,0.0732,0
0,0.0734,7.01E-07
0,0.0736,0
0,0.0738,1.05E-06
0,0.074,3.50E-07
0,0.0742,0
0,0.0744,3.50E-07
0,0.0746,3.50E-07
0,0.0748,0
0,0.075,1.05E-06
0,0.0752,7.01E-07
0,0.0754,3.50E-07
0,0.0756,7.01E-07
0,0.0758,3.50E-07
0,0.076,0
0,0.0762,0
0,0.0764,3.50E-07
0,0.0766,7.01E-07
0,0.0768,3.50E-07
0,0.077,0
0,0.0772,0
0,0.0774,3.50E-07
0,0.0776,3.50E-07
0,0.0778,0
0,0.078,1.05E-06
0,0.0782,3.50E-07
0,0.0784,3.50E-07
0,0.0786,1.05E-06
0,0.0788,7.01E-07
0,0.079,0
0,0.0792,3.50E-07
0,0.0794,0
0,0.0796,0
0,0.0798,0
0,0.08,1.40E-06
0,0.0802,3.50E-07
0,0.0804,1.40E-06
0,0.0806,3.50E-07
0,0.0808,7.01E-07
0,0.081,1.40E-06
0,0.0812,3.50E-07
0,0.0814,0
0,0.0816,3.50E-07
0,0.0818,0
0,0.082,7.01E-07
0,0.0822,7.01E-07
0,0.0824,7.01E-07
0,0.0826,3.50E-07
0,0.0828,0
0,0.083,3.50E-07
0,0.0832,0
0,0.0834,0
0,0.0836,-3.26E-05
0,0.0838,3.50E-07
0,0.084,0
0,0.0842,7.01E-07
0,0.0844,3.50E-07
0,0.0846,0
0,0.0848,3.50E-07
0,0.085,3.50E-07
0,0.0852,3.50E-07
0,0.0854,0
0,0.0856,3.50E-07
0,0.0858,1.05E-06
0,0.086,0
0,0.0862,3.50E-07
0,0.0864,3.50E-07
0,0.0866,3.50E-07
0,0.0868,7.01E-07
0,0.087,0
0,0.0872,3.50E-07
0,0.0874,0
0,0.0876,3.50E-07
0,0.0878,3.50E-07
0,0.088,7.01E-07
0,0.0882,7.01E-07
0,0.0884,7.01E-07
0,0.0886,0
0,0.0888,0
0,0.089,0
0,0.0892,3.50E-07
0,0.0894,3.50E-07
0,0.0896,3.50E-07
0,0.0898,1.05E-06
0,0.09,3.50E-07
0,0.0902,7.01E-07
0,0.0904,3.50E-07
0,0.0906,3.50E-07
0,0.0908,0
0,0.091,3.50E-07
0,0.0912,7.01E-07
0,0.0914,0
0,0.0916,3.50E-07
0,0.0918,1.05E-06
0,0.092,0
0,0.0922,3.50E-07
0,0.0924,7.01E-07
0,0.0926,3.50E-07
0,0.0928,3.50E-07
0,0.093,1.40E-06
0,0.0932,0
0,0.0934,7.01E-07
0,0.0936,0
0,0.0938,7.01E-07
0,0.094,3.50E-07
0,0.0942,3.50E-07
0,0.0944,1.05E-06
0,0.0946,0
0,0.0948,0
0,0.095,3.50E-07
0,0.0952,0
0,0.0954,3.50E-07
0,0.0956,0
0,0.0958,3.50E-07
0,0.096,7.01E-07
0,0.0962,7.01E-07
0,0.0964,0
0,0.0966,1.05E-06
0,0.0968,0
0,0.097,1.40E-06
0,0.0972,0
0,0.0974,3.50E-07
0,0.0976,3.50E-07
0,0.0978,3.50E-07
0,0.098,3.50E-07
0,0.0982,7.01E-07
0,0.0984,3.50E-07
0,0.0986,7.01E-07
0,0.0988,3.50E-07
0,0.099,3.50E-07
0,0.0992,7.01E-07
0,0.0994,3.50E-07
0,0.0996,7.01E-07
0,0.0998,3.50E-07
0,0.1,7.01E-07
0,0.1002,0
0,0.1004,7.01E-07
0,0.1006,7.01E-07
0,0.1008,0
0,0.101,3.50E-07
0,0.1012,7.01E-07
0,0.1014,3.50E-07
0,0.1016,0
0,0.1018,7.01E-07
0,0.102,3.50E-07
0,0.1022,3.50E-07
0,0.1024,7.01E-07
0,0.1026,7.01E-07
0,0.1028,1.05E-06
0,0.103,3.50E-07
0,0.1032,3.50E-07
0,0.1034,3.50E-07
0,0.1036,7.01E-07
0,0.1038,7.01E-07
0,0.104,3.50E-07
0,0.1042,3.50E-07
0,0.1044,7.01E-07
0,0.1046,3.50E-07
0,0.1048,3.50E-07
0,0.105,3.50E-07
0,0.1052,1.05E-06
0,0.1054,0
0,0.1056,0
0,0.1058,7.01E-07
0,0.106,0
0,0.1062,3.50E-07
0,0.1064,3.50E-07
0,0.1066,1.40E-06
0,0.1068,7.01E-07
0,0.107,3.50E-07
0,0.1072,7.01E-07
0,0.1074,0
0,0.1076,7.01E-07
0,0.1078,1.40E-06
0,0.108,1.05E-06
0,0.1082,1.05E-06
0,0.1084,0
0,0.1086,1.05E-06
0,0.1088,3.50E-07
0,0.109,0
0,0.1092,0
0,0.1094,0
0,0.1096,7.01E-07
0,0.1098,3.50E-07
0,0.11,1.05E-06
0,0.1102,7.01E-07
0,0.1104,3.50E-07
0,0.1106,3.50E-07
0,0.1108,3.50E-07
0,0.111,3.50E-07
0,0.1112,1.05E-06
0,0.1114,0
0,0.1116,7.01E-07
0,0.1118,1.05E-06
0,0.112,0
0,0.1122,3.50E-07
0,0.1124,3.50E-07
0,0.1126,3.50E-07
0,0.1128,7.01E-07
0,0.113,0
