mass,tof (us),Combined
0,0.0448,9.66E-08
0,0.045,-2.69E-07
0,0.0452,1.41E-07
0,0.0454,-5.18E-07
0,0.0456,6.92E-08
0,0.0458,-2.48E-08
0,0.046,3.19E-07
0,0.0462,-8.62E-08
0,0.0464,1.17E-08
0,0.0466,-4.24E-07
0,0.0468,1.41E-07
0,0.047,-2.73E-07
0,0.0472,9.23E-07
0,0.0474,-6.74E-07
0,0.0476,6.03E-07
0,0.0478,2.21E-07
0,0.048,3.63E-07
0,0.0482,1.98E-07
0,0.0484,-1.31E-07
0,0.0486,-3.84E-07
0,0.0488,1.98E-07
0,0.049,-4.78E-07
0,0.0492,-4.56E-07
0,0.0494,3.85E-07
0,0.0496,1.14E-07
0,0.0498,-3.71E-07
0,0.05,2.11E-07
0,0.0502,2.48E-08
0,0.0504,4.70E-08
0,0.0506,3.94E-07
0,0.0508,2.43E-07
0,0.051,-3.79E-08
0,0.0512,1.45E-07
0,0.0514,-2.28E-07
0,0.0516,3.85E-07
0,0.0518,1.32E-07
0,0.052,1.17E-08
0,0.0522,-6.01E-08
0,0.0524,1.98E-07
0,0.0526,-1.04E-08
0,0.0528,1.49E-07
0,0.053,2.61E-09
0,0.0532,3.32E-07
0,0.0534,-2.91E-07
0,0.0536,-4.02E-07
0,0.0538,-2.38E-07
0,0.054,-3.58E-07
0,0.0542,1.14E-07
0,0.0544,4.70E-08
0,0.0546,-1.71E-07
0,0.0548,2.87E-07
0,0.055,2.48E-08
0,0.0552,6.92E-08
0,0.0554,-2.60E-07
0,0.0556,2.34E-07
0,0.0558,4.70E-08
0,0.056,-1.40E-07
0,0.0562,5.90E-07
0,0.0564,3.05E-07
0,0.0566,-1.08E-07
0,0.0568,2.61E-09
0,0.057,2.09E-08
0,0.0572,-2.28E-07
0,0.0574,-3.84E-07
0,0.0576,1.32E-07
0,0.0578,-2.06E-07
0,0.058,5.81E-07
0,0.0582,9.14E-08
0,0.0584,-9.53E-08
0,0.0586,2.08E-07
0,0.0588,5.50E-07
0,0.059,-1.96E-08
0,0.0592,-6.01E-08
0,0.0594,2.87E-07
0,0.0596,-4.02E-07
0,0.0598,2.30E-07
0,0.06,6.03E-07
0,0.0602,4.79E-07
0,0.0604,-6.01E-08
0,0.0606,6.48E-07
0,0.0608,-6.11E-07
0,0.061,4.16E-07
0,0.0612,-1.21E-07
0,0.0614,-4.65E-07
0,0.0616,-1.96E-08
0,0.0618,-4.87E-07
0,0.062,-4.69E-07
0,0.0622,-1.96E-08
0,0.0624,1.01E-07
0,0.0626,-3.49E-07
0,0.0628,6.01E-08
0,0.063,1.49E-07
0,0.0632,-1.08E-07
0,0.0634,1.45E-07
0,0.0636,-2.35E-08
0,0.0638,1.17E-08
0,0.064,1.85E-07
0,0.0642,8.75E-08
0,0.0644,3.19E-07
0,0.0646,-3.13E-07
0,0.0648,-1.96E-08
0,0.065,-1.71E-07
0,0.0652,-1.36E-07
0,0.0654,-2.91E-07
0,0.0656,9.14E-08
0,0.0658,-1.17E-07
0,0.066,-3.26E-08
0,0.0662,3.22E-07
0,0.0664,2.43E-07
0,0.0666,8.25E-07
0,0.0668,-1.17E-07
0,0.067,2.21E-07
0,0.0672,3.09E-07
0,0.0674,1.98E-07
0,0.0676,-6.40E-08
0,0.0678,1.19E-07
0,0.068,-5.22E-07
0,0.0682,1.89E-07
0,0.0684,3.28E-07
0,0.0686,3.39E-08
0,0.0688,-9.53E-08
0,0.069,-2.28E-07
0,0.0692,1.76E-07
0,0.0694,2.96E-07
0,0.0696,5.81E-07
0,0.0698,-1.84E-07
0,0.07,2.61E-09
0,0.0702,1.50E-07
0,0.0704,8.22E-08
0,0.0706,-1.40E-07
0,0.0708,4.52E-07
0,0.071,-5.54E-07
0,0.0712,-2.60E-07
0,0.0714,-2.35E-08
0,0.0716,6.07E-07
0,0.0718,2.48E-08
0,0.072,5.90E-07
0,0.0722,-1.93E-07
0,0.0724,1.63E-07
0,0.0726,-2.06E-07
0,0.0728,3.00E-08
0,0.073,-2.38E-07
0,0.0732,-2.73E-07
0,0.0734,-5.22E-07
0,0.0736,1.17E-08
0,0.0738,1.76E-07
0,0.074,-1.96E-08
0,0.0742,-3.58E-07
0,0.0744,-6.53E-09
0,0.0746,-4.18E-08
0,0.0748,-1.14E-07
0,0.075,-2.91E-07
0,0.0752,-4.11E-07
0,0.0754,1.72E-07
0,0.0756,2.74E-07
0,0.0758,-2.38E-07
0,0.076,2.43E-07
0,0.0762,3.45E-07
0,0.0764,2.96E-07
0,0.0766,-7.36E-07
0,0.0768,2.74E-07
0,0.077,2.91E-07
0,0.0772,3.32E-07
0,0.0774,1.14E-07
0,0.0776,-1.31E-07
0,0.0778,-6.11E-07
0,0.078,-5.09E-07
0,0.0782,2.48E-08
0,0.0784,1.32E-07
0,0.0786,-9.53E-08
0,0.0788,4.07E-07
0,0.079,-6.38E-07
0,0.0792,4.16E-07
0,0.0794,4.96E-07
0,0.0796,-7.31E-08
0,0.0798,-4.18E-08
0,0.08,-2.56E-07
0,0.0802,1.14E-07
0,0.0804,-2.60E-07
0,0.0806,1.67E-07
0,0.0808,-2.51E-07
0,0.081,-1.40E-07
0,0.0812,-8.69E-07
0,0.0814,2.30E-07
0,0.0816,4.70E-08
0,0.0818,-1.53E-07
0,0.082,-4.65E-07
0,0.0822,1.98E-07
0,0.0824,2.87E-07
0,0.0826,-2.35E-08
0,0.0828,-4.70E-08
0,0.083,-1.49E-07
0,0.0832,-1.21E-07
0,0.0834,1.54E-07
0,0.0836,-5.67E-07
