mass,tof (us),Combined
0,0.0462,7.83E-07
0,0.0464,1.17E-06
0,0.0466,0.00E+00
0,0.0468,7.83E-07
0,0.047,1.57E-06
0,0.0472,0.00E+00
0,0.0474,3.92E-07
0,0.0476,0.00E+00
0,0.0478,0.00E+00
0,0.048,0.00E+00
0,0.0482,0.00E+00
0,0.0484,1.17E-06
0,0.0486,3.92E-07
0,0.0488,1.17E-06
0,0.049,3.92E-07
0,0.0492,0.00E+00
0,0.0494,1.17E-06
0,0.0496,7.83E-07
0,0.0498,3.92E-07
0,0.05,3.92E-07
0,0.0502,0.00E+00
0,0.0504,3.92E-07
0,0.0506,7.83E-07
0,0.0508,2.35E-06
0,0.051,7.83E-07
0,0.0512,0.00E+00
0,0.0514,7.83E-07
0,0.0516,3.92E-07
0,0.0518,3.92E-07
0,0.052,7.83E-07
0,0.0522,3.92E-07
0,0.0524,3.92E-07
0,0.0526,3.92E-07
0,0.0528,3.92E-07
0,0.053,3.92E-07
0,0.0532,3.92E-07
0,0.0534,0.00E+00
0,0.0536,3.92E-07
0,0.0538,0.00E+00
0,0.054,7.83E-07
0,0.0542,7.83E-07
0,0.0544,7.83E-07
0,0.0546,0.00E+00
0,0.0548,7.83E-07
0,0.055,0.00E+00
0,0.0552,7.83E-07
0,0.0554,0.00E+00
0,0.0556,7.83E-07
0,0.0558,3.92E-07
0,0.056,3.92E-07
0,0.0562,1.17E-06
0,0.0564,1.17E-06
0,0.0566,3.92E-07
0,0.0568,0.00E+00
0,0.057,7.83E-07
0,0.0572,3.92E-07
0,0.0574,7.83E-07
0,0.0576,3.92E-07
0,0.0578,0.00E+00
0,0.058,0.00E+00
0,0.0582,3.92E-07
0,0.0584,0.00E+00
0,0.0586,7.83E-07
0,0.0588,2.35E-06
0,0.059,0.00E+00
0,0.0592,0.00E+00
0,0.0594,0.00E+00
0,0.0596,7.83E-07
0,0.0598,3.92E-07
0,0.06,0.00E+00
0,0.0602,7.83E-07
0,0.0604,3.92E-07
0,0.0606,1.17E-06
0,0.0608,0.00E+00
0,0.061,3.92E-07
0,0.0612,3.92E-07
0,0.0614,3.92E-07
