XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.5	0
5.6	2
5.7	1
5.8	2
5.9	0
6.0	3
6.1	0
6.2	0
6.3	2
6.4	1
6.5	1
6.6	1
6.7	1
6.8	0
6.9	0
7.0	0
7.1	1
7.2	2
7.3	0
7.4	1
7.5	1
7.6	1
7.7	0
7.8	1
7.9	1
8.0	0
8.1	2
8.2	1
8.3	0
8.4	1
8.5	1
8.6	1
8.7	0
8.8	1
8.9	2
9.0	1
9.1	1
9.2	0
9.3	0
9.4	0
9.5	0
9.6	1
9.7	1
9.8	0
9.9	0
10.0	1
10.1	1
10.2	0
10.3	0
10.4	2
10.5	1
10.6	1
10.7	1
10.8	0
10.9	0
11.0	1
11.1	3
11.2	10
11.3	15
11.4	22
11.5	22
11.6	22
11.7	25
11.8	34
11.9	35
12.0	47
12.1	56
12.2	60
12.3	57
12.4	57
12.5	58
12.6	67
12.7	75
12.8	71
12.9	74
13.0	79
13.1	78
13.2	70
13.3	69
13.4	74
13.5	76
13.6	79
13.7	74
13.8	77
13.9	79
14.0	89
14.1	92
14.2	102
14.3	74
14.4	95
14.5	89
14.6	92
14.7	76
14.8	86
14.9	91
15.0	93
15.1	97
15.2	109
15.3	118
15.4	113
15.5	140
15.6	135
15.7	134
15.8	131
15.9	133
16.0	107
16.1	112
16.2	104
16.3	107
16.4	110
16.5	110
16.6	89
16.7	102
16.8	99
16.9	90
17.0	99
17.1	107
17.2	93
17.3	97
17.4	98
17.5	123
17.6	150
17.7	199
17.8	231
17.9	256
18.0	227
18.1	227
18.2	240
18.3	273
18.4	316
18.5	319
18.6	289
18.7	247
18.8	186
18.9	132
19.0	136
19.1	120
19.2	128
19.3	128
19.4	124
19.5	101
19.6	119
19.7	103
19.8	102
19.9	113
20.0	97
20.1	85
20.2	110
20.3	100
20.4	108
20.5	101
20.6	100
20.7	118
20.8	99
20.9	93
21.0	117
21.1	188
21.2	355
21.3	568
21.4	677
21.5	683
21.6	558
21.7	312
21.8	127
21.9	80
22.0	74
22.1	64
22.2	76
22.3	72
22.4	80
22.5	61
22.6	61
22.7	52
22.8	58
22.9	56
23.0	48
23.1	57
23.2	56
23.3	52
23.4	54
23.5	54
23.6	40
23.7	50
23.8	43
23.9	48
24.0	39
24.1	40
24.2	48
24.3	44
24.4	62
24.5	51
24.6	40
24.7	50
24.8	47
24.9	36
25.0	27
25.1	33
25.2	35
25.3	28
25.4	22
25.5	28
25.6	30
25.7	30
25.8	26
25.9	23
26.0	29
26.1	26
26.2	20
26.3	26
26.4	16
26.5	22
26.6	13
26.7	15
26.8	21
26.9	15
27.0	20
27.1	13
27.2	14
27.3	14
27.4	12
27.5	9
27.6	13
27.7	9
27.8	14
27.9	6
28.0	14
28.1	13
28.2	10
28.3	12
28.4	12
28.5	12
28.6	10
28.7	9
28.8	7
28.9	9
29.0	7
29.1	9
29.2	9
29.3	4
29.4	8
29.5	5
29.6	8
29.7	7
29.8	4
29.9	5
30.0	6
30.1	4
30.2	4
30.3	9
30.4	5
30.5	5
30.6	3
30.7	3
30.8	6
30.9	9
31.0	3
31.1	4
31.2	5
31.3	4
31.4	8
31.5	4
31.6	4
31.7	2
31.8	3
31.9	5
32.0	4
32.1	4
32.2	3
32.3	4
32.4	5
32.5	3
32.6	6
32.7	3
32.8	9
32.9	3
33.0	3
33.1	6
33.2	6
33.3	2
33.4	4
33.5	1
33.6	2
33.7	2
33.8	1
33.9	3
34.0	2
34.1	1
34.2	2
34.3	2
34.4	2
34.5	1
34.6	3
34.7	4
34.8	2
34.9	4
35.0	0
35.1	1
35.2	1
35.3	2
35.4	5
35.5	1
