XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.5	1
5.6	1
5.7	1
5.8	0
5.9	1
6.0	1
6.1	0
6.2	0
6.3	0
6.4	0
6.5	1
6.6	0
6.7	0
6.8	0
6.9	0
7.0	1
7.1	1
7.2	0
7.3	1
7.4	0
7.5	0
7.6	0
7.7	0
7.8	0
7.9	0
8.0	0
8.1	0
8.2	0
8.3	1
8.4	1
8.5	0
8.6	0
8.7	0
8.8	0
8.9	0
9.0	0
9.1	0
9.2	1
9.3	0
9.4	0
9.5	1
9.6	0
9.7	0
9.8	0
9.9	1
10.0	0
10.1	0
10.2	0
10.3	1
10.4	1
10.5	0
10.6	1
10.7	0
10.8	0
10.9	0
11.0	0
11.1	0
11.2	0
11.3	0
11.4	0
11.5	0
11.6	0
11.7	0
11.8	0
11.9	0
12.0	0
12.1	0
12.2	0
12.3	0
12.4	0
12.5	0
12.6	0
12.7	0
12.8	0
12.9	0
13.0	0
13.1	1
13.2	0
13.3	0
13.4	1
13.5	0
13.6	1
13.7	0
13.8	0
13.9	1
14.0	0
14.1	0
14.2	0
14.3	0
14.4	0
14.5	1
14.6	0
14.7	1
14.8	1
14.9	2
15.0	5
15.1	6
15.2	9
15.3	13
15.4	15
15.5	21
15.6	17
15.7	23
15.8	26
15.9	35
16.0	28
16.1	31
16.2	28
16.3	37
16.4	32
16.5	41
16.6	29
16.7	42
16.8	36
16.9	40
17.0	39
17.1	36
17.2	43
