XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.5	74
5.6	125
5.7	120
5.8	125
5.9	155
6.0	159
6.1	158
6.2	152
6.3	171
6.4	189
6.5	183
6.6	195
6.7	188
6.8	174
6.9	184
7.0	210
7.1	210
7.2	208
7.3	216
7.4	203
7.5	227
7.6	210
7.7	239
7.8	214
7.9	236
8.0	247
8.1	231
8.2	241
8.3	241
8.4	242
8.5	260
8.6	265
8.7	245
8.8	265
8.9	264
9.0	291
9.1	276
9.2	274
9.3	274
9.4	285
9.5	299
9.6	291
9.7	288
9.8	291
9.9	311
10.0	292
10.1	291
10.2	311
10.3	317
10.4	291
10.5	320
10.6	315
10.7	331
10.8	326
10.9	317
11.0	326
11.1	321
11.2	339
11.3	339
11.4	320
11.5	339
11.6	333
11.7	354
11.8	318
11.9	350
12.0	315
12.1	345
12.2	347
12.3	353
12.4	350
12.5	355
12.6	358
12.7	359
12.8	372
12.9	358
13.0	354
13.1	356
13.2	340
13.3	328
13.4	312
13.5	296
13.6	307
13.7	349
13.8	291
13.9	328
14.0	307
14.1	309
14.2	290
14.3	314
14.4	303
14.5	316
14.6	335
14.7	335
14.8	352
14.9	352
15.0	391
15.1	455
15.2	457
15.3	477
15.4	490
15.5	616
15.6	721
15.7	702
15.8	697
15.9	604
16.0	489
16.1	375
16.2	341
16.3	317
16.4	319
16.5	308
16.6	315
16.7	316
16.8	318
16.9	299
17.0	323
17.1	295
17.2	296
17.3	344
17.4	399
17.5	428
17.6	683
17.7	979
17.8	1216
17.9	1366
18.0	1363
18.1	1400
18.2	1586
18.3	1834
18.4	2117
18.5	2148
18.6	2085
18.7	1738
18.8	1030
18.9	658
19.0	531
19.1	438
19.2	389
19.3	384
19.4	358
19.5	365
19.6	352
19.7	336
19.8	344
19.9	304
20.0	335
20.1	349
20.2	305
20.3	309
20.4	355
20.5	356
20.6	369
20.7	359
20.8	347
20.9	328
21.0	374
21.1	826
21.2	1815
21.3	2746
21.4	3293
21.5	3327
21.6	2875
21.7	1737
21.8	673
21.9	355
22.0	252
22.1	232
22.2	239
22.3	230
22.4	204
22.5	211
22.6	204
22.7	169
22.8	188
22.9	163
23.0	168
23.1	155
23.2	165
23.3	167
23.4	155
23.5	130
23.6	148
23.7	142
23.8	156
23.9	138
24.0	133
24.1	118
24.2	137
24.3	141
24.4	172
24.5	180
24.6	187
24.7	159
24.8	137
24.9	89
25.0	95
25.1	95
25.2	88
25.3	70
25.4	88
25.5	65
25.6	78
25.7	70
25.8	67
25.9	72
26.0	57
26.1	63
26.2	63
26.3	53
26.4	59
26.5	54
26.6	52
26.7	49
26.8	47
26.9	43
27.0	44
27.1	42
27.2	39
27.3	39
27.4	27
27.5	34
27.6	32
27.7	32
27.8	32
27.9	31
28.0	27
28.1	26
28.2	27
28.3	33
28.4	32
28.5	28
28.6	30
28.7	26
28.8	29
28.9	23
29.0	25
29.1	22
29.2	17
29.3	26
29.4	26
29.5	23
29.6	23
29.7	18
29.8	22
29.9	20
30.0	20
30.1	19
30.2	18
30.3	13
30.4	20
30.5	17
30.6	19
30.7	17
30.8	22
30.9	15
31.0	14
31.1	18
31.2	11
31.3	20
31.4	15
31.5	14
31.6	17
31.7	16
31.8	21
31.9	27
32.0	15
32.1	23
32.2	15
32.3	14
32.4	16
32.5	17
32.6	11
32.7	13
32.8	16
32.9	21
33.0	24
33.1	33
33.2	35
33.3	10
33.4	14
33.5	8
33.6	10
33.7	9
33.8	14
33.9	12
34.0	13
34.1	11
34.2	12
34.3	10
34.4	12
34.5	11
34.6	9
34.7	12
34.8	13
34.9	11
35.0	13
35.1	12
35.2	5
35.3	9
35.4	9
35.5	5
